UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
1210,0,0,0,0,0,0,0,0,210.228947703-,0.06685857678260979,None,None,13,15,15,
1606,0,0,0,0,0,0,0,0,211.01358238-,0.06685857678260979,None,None,13,15,15,
20057,0,0,0,0,0,0,0,0,211.766710715,0.027901662142857497,None,None,14,15,15,
8656,0,0,0,0,0,0,0,0,212.768057469,0.025908350175182577,None,None,13,15,15,
74401,0,0,0,0,0,0,0,0,214.156474494,0.0199684988421053,None,None,14,15,15,
83014,0,0,0,0,0,0,0,0,215.164945905,0.017479851018691584,None,None,8,10,14,
22950,0,0,0,0,0,0,0,0,216.23324429,0.018325832595567932,None,None,7,15,15,
35057,0,0,0,0,0,0,0,0,217.246488492,0.018644501557457258,None,None,11,15,15,
58872,0,0,0,0,0,0,0,0,218.264972805,0.017874021368530044,None,None,12,14,15,
46698,0,0,0,0,0,0,0,0,219.287718748,0.017818952972273577,None,None,12,14,15,
53626,0,0,0,0,0,0,0,0,220.303490615,0.017522674067434258,None,None,13,15,15,
50778,0,0,0,0,0,0,0,0,221.32737748,0.017296054038518555,None,None,13,15,15,
37492,0,0,0,0,0,0,0,0,222.393946636,0.01735699411217514,None,None,13,15,15,
59557,0,0,0,0,0,0,0,0,223.422275898,0.016970947571251577,None,None,12,15,15,
37828,0,0,0,0,0,0,0,0,224.444452105,0.017109658914153163,None,None,13,15,15,
53754,0,0,0,0,0,0,0,0,225.507493158,0.017014858410367203,None,None,14,15,15,
54786,0,0,0,0,0,0,0,0,226.528524736,0.01679733746292588,None,None,12,15,15,
43511,0,0,0,0,0,0,0,15603,227.546559602,0.01681876275473487,None,0.006958613718446758,13,15,15,
51675,0,0,0,0,0,0,0,19739,228.55856804,0.016713796066785393,None,0.007112856640167466,13,14,15,
35775,0,0,0,0,0,0,0,24748,229.571408193,0.016845500290459958,None,0.006614062314496343,12,15,15,
53608,0,0,0,0,0,0,0,23068,230.588570762,0.016730230160225446,None,0.006627476722522553,13,15,15,
35110,0,0,0,18060,0,0,0,25094,231.603507555,0.01685504366873064,0.015340544926829125,0.006412698858516508,12,14,15,
59943,0,0,0,27424,0,0,0,26033,232.628153898,0.0167060934032258,0.01577140347572812,0.006269326857935636,13,14,15,
72884,0,0,0,26030,0,0,0,24814,233.640558143,0.016337217014482746,0.016041809938271544,0.006213719874766368,13,15,15,
52520,0,0,0,26030,0,0,0,14302,234.64562959,0.016281443537244547,0.016140384262443446,0.006312994285102751,11,14,15,
51679,0,0,0,26437,0,0,0,0,235.659770729,0.016260860991133604,0.01625282648754448,None,10,14,15,
49681,0,0,0,26030,0,0,0,0,236.667750856,0.016233065751065097,0.016388380547058833,None,13,15,15,
67336,0,0,0,26786,0,0,0,0,237.672776455,0.016060692522041738,0.0163649631620948,None,8,15,15,
35239,0,0,0,26030,0,0,0,0,238.707038099,0.016199544211060925,0.01631693355217393,None,13,15,15,
54245,0,0,0,23986,0,0,0,0,239.727660221,0.016062659965292818,0.016561963988326864,None,13,15,15,
39997,0,0,0,15059,0,0,0,0,240.735092711,0.016244828381104012,0.016328179587591255,None,13,15,15,
78005,0,0,0,0,0,0,0,0,241.929518274,0.016178740987205707,None,None,13,15,15,
80239,0,0,0,69075,0,0,0,0,242.952696045,0.01601188965586644,0.014192517105714281,None,13,15,15,
74160,0,0,0,35808,0,0,0,0,243.965861334,0.01580569956088385,0.013964350432778463,None,13,15,15,
56294,0,0,0,27493,0,0,0,0,244.974942468,0.01577548836479706,0.01412824573784103,None,15,0,7,
36928,0,0,0,28148,0,0,0,0,245.980898749,0.01585517843989313,0.014249031230684318,None,15,15,14,
20389,0,0,0,27644,0,0,0,0,247.016749806,0.01597983197467247,0.014372477467975186,None,15,15,15,
7688,0,0,0,27149,0,0,0,0,248.045303585,0.016308424773535782,0.014470948089407177,None,15,15,15,
18579,0,0,0,26671,0,0,0,0,249.056139395,0.016427150417483997,0.014596426187327807,None,15,15,14,
18842,0,0,0,26973,0,0,0,0,250.061063543,0.016593677423529404,0.014683071234986944,None,15,15,15,
19466,0,0,0,27082,0,0,0,15949,251.064865063,0.016727823087980154,0.01469510439090909,0.006298381423981202,15,15,14,
16527,0,0,0,25907,0,0,0,20152,252.070039265,0.016876921836319198,0.01481226127208202,0.00637684343647978,15,15,12,
21569,0,0,0,26411,0,0,0,24682,253.071212423,0.016961842290399976,0.014916251595327824,0.00631355587182741,15,14,7,
8929,0,0,0,27997,0,0,0,6970,254.083151256,0.01720728623382292,0.014960205612230226,0.0065167463779284805,15,14,9,
17636,0,0,0,25496,0,0,0,0,255.084994,0.017292824773651263,0.015069564364892882,None,15,14,9,
15468,0,0,0,28734,0,0,0,0,256.099957591,0.017408495018518485,0.015093262303110505,None,15,14,10,
7394,0,0,0,28936,0,0,0,0,257.131892843,0.017581077670484883,0.01511102156218271,None,15,14,10,
11539,0,0,0,28684,0,0,0,0,258.141237675,0.017791677844931877,0.015120121880487754,None,15,15,14,
5508,0,0,0,28819,0,0,0,0,259.212199136,0.017978249355020636,0.015136580043401727,None,15,15,14,
17572,0,0,0,26260,0,0,0,0,260.223383496,0.018051135026686402,0.015187998328798148,None,15,15,15,
8516,0,0,0,26260,0,0,0,0,261.243999847,0.018286905743457413,0.015271914670323622,None,15,14,10,
15167,0,0,0,31034,0,1284,0,0,262.322659594,0.01843259008961747,0.015224994335446359,0.006467437173276358,15,15,15,
6499,0,0,0,27677,0,0,0,0,263.336391755,0.018730221457682526,0.015274918501278732,None,15,12,8,
17489,0,0,0,25849,0,0,0,0,264.38197323,0.018866015207032655,0.01531286403676101,None,15,12,8,
14229,0,0,0,25647,0,3671,0,0,265.406061657,0.019061347702702704,0.015356143797584472,0.006854092126283966,15,12,8,
12018,0,0,0,29095,0,44928,0,0,266.42899023,0.019217821817605642,0.015356224235597104,0.006876523997212892,15,13,8,
13698,0,0,0,26957,0,40602,0,0,267.436054473,0.0193436483423894,0.015388661751366044,0.007163021431340824,15,13,8,
4776,0,0,0,26822,0,34713,0,0,268.446042919,0.019638905105628914,0.015393758119237502,0.007528506948421029,15,12,8,
12981,0,0,0,27711,0,69121,0,0,269.449043158,0.019757845902338377,0.015404490301552986,0.007717861654894016,15,13,8,
11966,0,0,0,27082,0,45717,0,0,270.463892352,0.01987810567710105,0.015411096970575796,0.007976917054821312,15,12,8,
10577,0,0,0,26671,0,49999,0,0,271.478568075,0.020036156918608578,0.015422059268142588,0.008179313980614637,15,12,8,
9552,0,0,0,27997,0,53747,0,0,272.490229107,0.020167488703753338,0.015426710160671379,0.008385891395785586,15,12,8,
9318,0,0,0,25085,0,37166,0,0,273.512556149,0.020315856927859026,0.015463253209538624,0.00863586336001786,15,13,8,
9002,0,0,0,28237,0,32892,0,0,274.519392574,0.020500412374380963,0.01545207461289086,0.008915406931518842,15,13,8,
8234,0,0,0,28122,0,55904,0,0,275.529929603,0.02064671616202033,0.015460986312476659,0.00904228912670644,15,12,8,
9993,0,0,0,26260,0,69347,0,0,276.533047647,0.020756467932770386,0.015475995764212758,0.009114301995067775,15,13,8,
12102,0,0,0,26260,0,53153,0,0,277.545956566,0.02080930506989421,0.015487522161255722,0.00927577556862741,15,13,8,
10957,0,0,0,26260,0,25983,0,0,278.553337987,0.020975576074498584,0.015492302966806365,0.009503509416666627,15,13,8,
9566,0,0,0,26671,0,41965,0,0,279.580498728,0.021072521373657636,0.015489560898014993,0.00967069021006141,15,13,7,
7408,0,0,0,25647,0,69957,0,0,280.587045838,0.021309510394521426,0.01551185138267869,0.00970307240845067,15,12,8,
8477,0,0,0,28610,0,48630,0,0,281.594814313,0.021398107410296425,0.015503000631734492,0.009835746406442256,15,12,8,
10010,0,0,0,26260,0,33737,0,0,282.603936634,0.021502760095208667,0.015511901835965125,0.010029056012811384,15,13,8,
10216,0,5706,0,27970,0,72547,0,0,283.616639125,0.021478328220597215,0.015524948278040997,0.01005723844570838,15,12,8,
10233,0,9640,0,26671,0,53645,0,0,284.629323064,0.02124309061957169,0.015547000541085196,0.010161435588870156,15,12,8,
4774,0,11737,0,27560,0,41693,0,0,285.632268434,0.020973111227983787,0.015557092755095743,0.010312772771551725,15,12,8,
6818,0,9401,0,25371,0,57500,0,0,286.63701021,0.02081772044425532,0.0155774873367224,0.010405502262970164,15,14,10,
8121,0,14269,0,28698,0,80722,0,0,287.639312975,0.020424760274450553,0.01557664062734733,0.010435396336486893,15,12,8,
7188,0,15101,0,26671,0,96112,0,0,288.652056091,0.020014720581827846,0.015585198628604306,0.01041615166015266,15,12,8,
7245,0,4606,0,26671,0,122783,0,0,289.688059462,0.01996276150627943,0.015589219986111024,0.01031491160828679,15,12,8,
3064,0,11047,0,26671,0,76677,0,0,290.693936551,0.019782810969541834,0.015592732624860557,0.01034728511149325,15,12,7,
3202,0,17976,0,27846,0,84502,0,0,291.707332894,0.01931433575012333,0.015583989634072782,0.010329327051353612,15,15,8,
3064,0,9348,0,22987,0,68859,0,0,292.726968202,0.019182794181664242,0.015619239509454276,0.010345518862210091,15,14,10,
2926,0,8897,0,29162,0,58420,0,0,293.736275301,0.019039258558481608,0.01561522373161661,0.010425834198821008,15,15,14,
3064,0,19530,0,27366,0,79501,0,0,294.73648501,0.018627027356798904,0.015622660010188026,0.01043279258117647,15,13,9,
3064,0,7232,0,29976,0,94582,0,0,295.745991444,0.018550481639810434,0.015592914003080808,0.010397963552363998,15,12,8,
