UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
27254,0,0,0,24751,0,0,0,0,0.02023966779233446,0.01527286153105846,None,11,15,15
6764,0,0,0,22407,0,0,0,0,0.026870355690138334,0.018230975024189792,None,7,9,12
10535,0,0,0,26582,0,0,0,0,0.024350793637440978,0.017787373553197528,None,10,14,14
10196,0,0,0,24831,0,0,0,0,0.031298670300758925,0.01725335284054473,None,3,8,13
13098.0,0.0,0.0,0.0,24589.0,0.0,0.0,0.0,24362.0,0.03184602244585295,0.016259092906849622,0.006921501128689515,8.0,8.0,14.0
8849.0,0.0,0.0,0.0,23901.0,0.0,0.0,0.0,25322.0,0.035331707047963117,0.016697754354533762,0.005759249589013496,6.0,9.0,11.0
10784.0,0.0,0.0,0.0,30218.0,0.0,0.0,0.0,22509.0,0.02998447171990696,0.01645288800217158,0.005857843858164454,7.0,7.0,12.0
12076.0,0.0,0.0,0.0,26971.0,0.0,0.0,0.0,1539.0,0.03189492653622996,0.01815274677601212,0.0050768590610934935,12.0,14.0,15.0
6428,0,0,0,28003,0,0,0,0,0.03175545551432038,0.017778205027648174,None,12,14,15
13802,0,0,0,24610,0,0,0,0,0.033674804940428266,0.01578717015746592,None,6,8,14
14009,0,0,0,29567,0,0,0,0,0.03816479415495966,0.017607777797533208,None,8,7,12
13540,0,0,0,29407,0,0,0,0,0.030501577344623033,0.016476218616032382,None,15,14,15
13850,0,0,0,26517,0,0,0,0,0.033502731105605504,0.014252218662859242,None,6,8,12
14956.0,0.0,0.0,0.0,25762.0,0.0,4696.0,0.0,0.0,0.035166992313082526,0.014515875746853537,0.006157236035761293,8.0,8.0,11.0
13870,0,0,0,27897,0,0,0,0,0.03689661428161247,0.01658443563617059,None,7,7,13
14755,0,0,0,30520,0,0,0,0,0.033808263295781585,0.017818093273178452,None,6,7,12
14371.0,0.0,0.0,0.0,28283.0,0.0,466.0,0.0,0.0,0.03547371183274826,0.016892413232529543,0.006265942013540657,7.0,7.0,13.0
12743.0,0.0,0.0,0.0,25121.0,0.0,40560.0,0.0,0.0,0.04021335176540167,0.015218542494619534,0.007276928700109996,11.0,7.0,12.0
12271.0,0.0,0.0,0.0,27632.0,0.0,11541.0,0.0,0.0,0.031209415054708,0.015325553651929278,0.008232221942117465,8.0,6.0,13.0
10630.0,0.0,0.0,0.0,25639.0,0.0,113066.0,0.0,0.0,0.02773168829917936,0.019897922034412034,0.008463109834350961,8.0,8.0,14.0
8572.0,0.0,0.0,0.0,26677.0,0.0,116422.0,0.0,0.0,0.032159111034234016,0.016400169866799777,0.007477619277001115,6.0,8.0,12.0
15201.0,0.0,0.0,0.0,28774.0,0.0,106870.0,0.0,0.0,0.03351538381011462,0.015961554487941492,0.007954446116055152,7.0,8.0,11.0
14515.0,0.0,0.0,0.0,27506.0,0.0,80520.0,0.0,0.0,0.03500880838206485,0.0159011433801162,0.006972023126784435,8.0,9.0,11.0
15597.0,0.0,0.0,0.0,27671.0,0.0,61788.0,0.0,0.0,0.03474791826205954,0.01911159414970248,0.010399630967810183,9.0,9.0,13.0
17109.0,0.0,0.0,0.0,24700.0,0.0,76712.0,0.0,0.0,0.0282975471938446,0.01599037264275014,0.00734660756185528,8.0,8.0,12.0
10024.0,0.0,0.0,0.0,26894.0,0.0,80192.0,0.0,0.0,0.033790518264747375,0.01749861412970273,0.009156383245880311,7.0,7.0,12.0
8608.0,0.0,0.0,0.0,29018.0,0.0,91173.0,0.0,0.0,0.0350186170671342,0.015607162444611331,0.009350557650698326,7.0,7.0,11.0
3247.0,0.0,0.0,0.0,27813.0,0.0,60894.0,0.0,0.0,0.030953583941698008,0.016124205568882,0.008726503345951878,7.0,7.0,11.0
6293.0,0.0,0.0,0.0,26687.0,0.0,113167.0,0.0,0.0,0.03812958979626101,0.018026446641810925,0.009822276982694276,7.0,7.0,11.0
7235.0,0.0,0.0,0.0,25471.0,0.0,103690.0,0.0,0.0,0.02889682166151455,0.017120461403249947,0.010322350974819467,7.0,8.0,11.0
8181.0,0.0,0.0,0.0,26606.0,0.0,75345.0,0.0,0.0,0.033583270015082205,0.01651110545600789,0.008891441578130103,6.0,7.0,15.0
7190.0,0.0,0.0,0.0,28107.0,0.0,71498.0,0.0,0.0,0.029068606380444964,0.01719906088220177,0.009178740827708715,8.0,10.0,12.0
5014.0,0.0,0.0,0.0,26345.0,0.0,56194.0,0.0,0.0,0.043651102880765846,0.017138522088277375,0.008809311709015381,4.0,8.0,13.0
5470.0,0.0,0.0,0.0,25754.0,0.0,110916.0,0.0,0.0,0.0342092694035833,0.015690768647118186,0.009279931761877603,6.0,10.0,13.0
8588.0,0.0,1245.0,0.0,28349.0,0.0,129156.0,0.0,0.0,0.03701483709522574,0.019565340904614634,0.009610056688118472,7.0,8.0,15.0
9852.0,0.0,4694.0,0.0,25464.0,0.0,115712.0,0.0,0.0,0.03920261571455507,0.0161152222724381,0.007872620378554636,8.0,8.0,13.0
8096.0,0.0,8743.0,0.0,27795.0,0.0,123695.0,0.0,0.0,0.033566297512595294,0.018312914655476114,0.00869047123929661,7.0,7.0,12.0
9213.0,0.0,4595.0,0.0,29015.0,0.0,75946.0,0.0,0.0,0.03439296303903109,0.017745214165610708,0.008957583935246963,8.0,8.0,10.0
4564.0,0.0,0.0,0.0,27514.0,0.0,31568.0,0.0,0.0,0.03269635187426726,0.016705946406337293,0.008501272425738463,8.0,8.0,12.0
7076.0,0.0,1222.0,0.0,26605.0,0.0,64183.0,0.0,0.0,0.03581062200716928,0.01695113551153809,0.008501112426531262,6.0,7.0,14.0
8117.0,0.0,0.0,0.0,26119.0,0.0,98912.0,0.0,0.0,0.033175020662038625,0.017569232577884578,0.007820725904251128,8.0,6.0,10.0
4464.0,0.0,1777.0,0.0,27472.0,0.0,71463.0,0.0,0.0,0.03654916137101875,0.014785987524638321,0.010174663657938805,6.0,14.0,12.0
2751.0,0.0,11835.0,0.0,26749.0,0.0,82915.0,0.0,0.0,0.029083971382183122,0.01680465606336807,0.008126803080324919,8.0,11.0,15.0
3025.0,0.0,15887.0,0.0,24398.0,0.0,78147.0,0.0,0.0,0.030168133631902763,0.01571338330343584,0.00995538246998451,12.0,13.0,15.0
3702.0,0.0,15037.0,0.0,26017.0,0.0,85071.0,0.0,0.0,0.035956436812192516,0.017642804318042805,0.009700052804314966,11.0,14.0,15.0
3260.0,0.0,18995.0,0.0,30956.0,0.0,88009.0,0.0,0.0,0.024530662810049786,0.018046829097869806,0.009625354920987051,7.0,8.0,15.0
2702.0,0.0,3739.0,0.0,30027.0,0.0,82116.0,0.0,0.0,0.03008326494907515,0.017700911160586655,0.00936085048346911,12.0,15.0,14.0
3077.0,0.0,11012.0,0.0,28366.0,0.0,67748.0,0.0,0.0,0.02630006882465337,0.015489431786315448,0.009356608914360246,8.0,9.0,13.0
2913.0,0.0,3739.0,0.0,28725.0,0.0,97178.0,0.0,0.0,0.02627111001780902,0.016852259506893688,0.009442040470645837,7.0,8.0,14.0
3168.0,0.0,6706.0,0.0,28365.0,0.0,85546.0,0.0,0.0,0.02650900217837128,0.017439902930685702,0.010284736832408305,7.0,9.0,13.0
3387.0,0.0,3490.0,0.0,27796.0,0.0,97860.0,0.0,0.0,0.026700196208775645,0.013779032291234205,0.010329644583598861,6.0,8.0,14.0
69.0,0.0,5042.0,0.0,25195.0,0.0,64345.0,0.0,0.0,0.02892130065856826,0.0176275628595231,0.00905898474338929,8.0,9.0,12.0
0.0,0.0,9327.0,0.0,31499.0,0.0,32739.0,0.0,0.0,0.02877469677135039,0.015656036110404885,0.010015205681194187,8.0,7.0,13.0
0.0,0.0,8013.0,0.0,19968.0,0.0,69173.0,0.0,0.0,0.02240134651441048,0.01701942633895104,0.009724830259968417,7.0,9.0,13.0
0,0,12450,0,0,0,42966,0,0,0.024275893597173182,None,0.009157306444051777,7,9,11
0,0,15576,0,0,0,58697,0,0,0.02127010604813999,None,0.010035085120589081,8,7,13
0,0,8024,0,0,0,30231,0,0,0.025777384622563272,None,0.010494369664822461,6,7,11
0,0,0,0,0,0,36937,0,0,None,None,0.011606082143013478,7,8,14
0,0,0,0,0,0,37130,0,0,None,None,0.011729461897206873,9,7,15
0,0,0,0,0,0,45187,0,14216,None,None,0.010822220590442305,6,8,13
0,0,0,0,0,0,32162,0,21493,None,None,0.010222833502814025,8,8,13
0,0,0,0,0,0,10484,0,18409,None,None,0.01114143986121318,7,8,11
0,0,0,0,0,0,17375,0,21289,None,None,0.010554703275375638,6,8,11
0,0,0,0,0,0,19484,0,21791,None,None,0.010685487558268921,7,8,11
0,0,0,0,0,0,10832,0,24784,None,0.016369708157164403,0.010784566159477697,9,9,13
0,0,0,0,0,0,343,0,22916,None,None,0.008547530224172714,6,8,13
0,0,0,14592,0,0,6475,0,20421,None,0.015886044917356165,0.007808715728058125,7,9,12
0,0,0,0,0,0,5815,0,23907,None,0.017285558784528924,0.010549744220061372,7,9,12
0,0,0,33690,0,0,6458,0,25671,None,0.017683888254368733,0.009937369895349199,7,8,11
0,0,0,40390,0,0,9595,0,25280,None,0.014915114001322142,0.009643037362341568,6,9,13
0,0,0,32168,0,0,908,0,25504,None,0.016659942276499584,0.007826242380537241,8,9,13
0,0,0,33647,0,0,0,0,25846,None,0.018034700091777975,0.007423556893881822,7,7,12
0,0,0,39960,0,0,1399,0,25335,None,0.01422854073669898,0.00715933945817065,6,7,13
0,0,0,40182,0,0,4373,0,24761,None,0.014608760991760637,0.007846563806296628,8,9,15
0,0,0,47237,0,0,2124,0,25691,None,0.0163260161440968,0.007702254674724275,7,9,14
0,0,0,36327,0,0,0,0,24840,None,0.01722387262609357,0.007740391833277985,8,10,10
0,0,0,36074,0,0,0,0,23725,None,0.014794878302285527,0.008690592183246595,7,8,12
0,0,0,41430,0,0,0,0,22755,None,0.0185586331178058,0.00759671509791497,8,6,14
0,0,0,33710,0,0,0,0,24480,None,0.015685374295691182,0.008666833111399172,6,6,12
0,0,0,29338,0,0,0,0,27005,None,0.015829016790500177,0.007664924175431291,7,7,12
0,0,0,32766,0,0,0,0,25664,None,0.01791228840650046,0.009046117351575872,7,8,12
0,0,0,33971,0,0,0,0,25424,None,0.014692758501904782,0.008768966119940031,8,8,12
0,0,0,45837,0,0,0,0,24323,None,0.014705560878303584,0.007025403341180163,6,7,15
0,0,0,32895,0,0,0,0,24801,None,0.01659041280583297,0.007903280711315061,8,8,12
0.0,0.0,9957.0,33931.0,0.0,0.0,0.0,0.0,24880.0,0.026186087678464934,0.015822903799688804,0.00681399119847663,7.0,10.0,13.0
0.0,0.0,10690.0,37448.0,0.0,0.0,0.0,0.0,25132.0,0.021261544379896764,0.015303265160170472,0.007674650181077627,7.0,8.0,10.0
0.0,0.0,7745.0,47866.0,0.0,0.0,0.0,0.0,25693.0,0.019818092152514656,0.015545851194401598,0.007832762624065586,6.0,8.0,10.0
0.0,0.0,4915.0,30328.0,0.0,0.0,0.0,0.0,24383.0,0.022268180984808938,0.013070046101569817,0.008160317503941415,8.0,6.0,12.0
0.0,0.0,696.0,40671.0,0.0,0.0,0.0,0.0,24183.0,0.019039166732997635,0.016254133057602958,0.006674138170220843,7.0,8.0,14.0
0.0,0.0,7306.0,37539.0,0.0,0.0,0.0,0.0,24227.0,0.0232590212872607,0.016490121020346873,0.007597285264227864,9.0,4.0,12.0
0.0,0.0,801.0,34135.0,0.0,0.0,0.0,0.0,24003.0,0.021792616284061657,0.014156117174920973,0.007455956872329688,8.0,8.0,13.0
0.0,0.0,9477.0,33567.0,0.0,0.0,0.0,0.0,18485.0,0.02463595864173569,0.01596041081087841,0.008507491212142669,7.0,7.0,14.0
0.0,0.0,3224.0,27286.0,0.0,0.0,0.0,0.0,26033.0,0.026252158249098725,0.017436433190958143,0.0071430363628776335,7.0,9.0,12.0
