UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI,empty
16598,0,0,0,0,0,0,0,0,0.001068753,0.017647113771929825,0,0,14,15,15,
8318,0,0,0,0,0,0,0,0,1.015053227,0.02101883455670103,0,0,10,14,15,
26638,0,0,0,0,0,0,0,0,2.048245008,0.022381520022058822,0,0,13,15,15,
7937,0,0,0,0,0,0,0,0,3.117067365,0.028400676557823128,0,0,14,14,15,
67382,0,0,0,0,0,0,0,0,4.253197276,0.02322737280717489,0,0,13,15,15,
12654,0,0,0,0,0,0,0,0,5.312108719,0.02506462623076923,0,0,14,15,15,
12181,0,0,0,0,0,0,0,0,6.399976177,0.026273609492700727,0,0,14,15,15,
11672,0,0,0,0,0,0,0,0,7.456220318,0.02753525663087248,0,0,14,15,15,
11584,0,0,0,0,0,0,0,0,8.467965911,0.028839568352024923,0,0,14,14,15,
13864,0,0,0,0,0,0,0,0,9.527981216,0.029414747091690546,0,0,14,14,15,
15384,0,0,0,0,0,0,0,0,10.554369435,0.02975104998425197,0,0,12,15,15,
15675,0,0,0,0,0,0,0,0,11.634951187,0.03030918462254902,0,0,10,14,15,
16620,0,0,0,0,0,0,0,0,12.677990757,0.030186817668171557,0,0,12,15,15,
14400,0,0,0,0,0,0,0,0,13.688047932,0.03078883313034188,0,0,9,12,15,
6945,0,0,0,0,0,0,0,0,14.727973338,0.03228697652989691,0,0,9,11,15,
16899,0,0,0,0,0,0,0,0,16.320011906,0.03252063374463938,0,0,10,11,15,
23712,0,0,0,0,0,0,0,0,17.387978984,0.03154545266666667,0,0,12,14,15,
23990,0,0,0,0,0,0,0,0,18.446047568,0.030958500195364242,0,0,13,15,15,
24004,0,0,0,0,0,0,0,0,19.449923955,0.030430651229938276,0,0,13,14,15,
25128,0,0,0,0,0,0,0,3196,20.470341118,0.029911541145743147,0,0.005562450777777765,11,14,15,
27956,0,0,0,0,0,0,0,25094,21.492646514,0.02944491264227642,0,0.005698125198952865,13,14,15,
8246,0,0,0,0,0,0,0,24402,22.512050287,0.029544438383597885,0,0.005907593454802245,13,15,15,
16655,0,0,0,2595,0,0,0,25028,23.515021838,0.029501983131713556,0.007020671399999401,0.005890175712927748,11,14,15,
440,0,0,0,25986,0,0,0,24270,24.530013927,0.030557869574522296,0.015134264656249952,0.005975589807860259,14,14,15,
27678,0,0,0,26130,0,0,0,24682,25.54500273,0.0300919435066345,0.015470697056910553,0.005992103791569083,9,13,15,
36746,0,0,0,24961,0,0,0,25028,26.557960834,0.029251692528748593,0.01564330325698323,0.005955657652046781,11,12,15,
36763,0,0,0,26656,0,0,0,22985,27.564024819,0.028445410890179518,0.01567947493723849,0.005998717521996615,10,12,15,
35327,0,0,0,28384,0,0,0,21008,28.568422203,0.027859559451548454,0.01563815544224422,0.006033447895691609,14,14,15,
28679,0,0,0,27015,0,0,0,0,29.569404589,0.027409660828273247,0.01575660679670329,0,10,15,15,
17758,0,0,0,27299,0,0,0,0,30.599226133,0.02749231382347505,0.015811414110328638,0,13,15,15,
22678,0,0,0,26130,0,0,0,0,31.64465103,0.027615228050269305,0.015822826649484534,0,12,13,15,
9967,0,0,0,26689,0,0,0,0,32.666165064,0.027597596510563382,0.0159212132146789,0,13,14,15,
17196,0,0,0,26549,0,0,0,0,33.669473262,0.02764434569283866,0.015995487001652896,0,13,14,15,
43801,0,0,0,25948,0,0,0,0,34.669699209,0.027008766239770873,0.016123114742081453,0,9,11,15,
48028,0,0,0,27201,0,0,0,0,35.682323472,0.02648186091978194,0.01612522220303868,0,10,13,15,
46558,0,0,0,27488,0,0,0,0,36.69445364,0.026041563436011914,0.016131831578880422,0,9,12,15,
50852,0,0,0,27638,0,0,0,0,37.70422688,0.025366187372175154,0.016218876820754728,0,8,10,15,
50947,0,0,0,27201,0,0,0,0,38.778547034,0.024969919174560228,0.01621182812541255,0,10,10,15,
54877,0,0,0,26722,0,0,0,0,39.796247605,0.024431525715667323,0.016240026783281746,0,10,12,15,
56817,0,0,0,26310,0,0,0,0,40.796298958,0.023840592951504,0.016283442039883276,0,8,10,15,
32486,0,0,0,27076,0,0,0,0,41.800082712,0.023750527102870823,0.01628981468503215,0,6,10,15,
51396,0,0,0,25956,0,0,0,0,42.808002416,0.0233556647871486,0.016284594214472543,0,9,10,15,
60721,0,0,0,21402,0,0,0,0,43.808321038,0.022810075051422324,0.016389654884518833,0,8,11,15,
57646,0,0,0,31572,0,0,0,0,44.834374767,0.022337696381799166,0.016182596260663512,0,7,11,15,
39282,0,0,0,26872,0,0,0,12077,45.866012266,0.022117789378749367,0.016196850788838618,0.005995935907275319,5,10,15,
21776,0,0,0,27201,0,0,0,28620,46.867407348,0.022230546956956962,0.016204825677721708,0.005888960782363976,6,10,15,
52170,0,0,0,26310,0,0,0,5768,47.880142203,0.021908157225759773,0.016209841045643162,0.00601613348223039,2,10,15,
32566,0,0,0,27488,0,0,0,10578,48.897300345,0.021884998249056608,0.016206700834880645,0.006001371411039342,7,11,15,
54627,0,0,0,26310,0,888,0,0,49.907790447,0.021615783431372555,0.016192094551372056,0.0059641905373395525,6,11,15,
20860,0,0,0,25544,0,13957,0,0,50.915257739,0.0215149404419442,0.01621187672413794,0.00638705470752565,7,11,14,
43014,0,0,0,27076,0,78856,0,0,51.921253416,0.02136352986158564,0.016212609562611287,0.006528237190578152,6,10,15,
40316,0,0,0,26872,0,32251,0,0,52.93627643,0.02113631459786781,0.0162333193833811,0.0067145583974895316,10,10,15,
9538,0,0,0,27201,0,52461,0,0,53.979290157,0.021221792754341384,0.016238218761351064,0.007009458011178853,6,10,15,
40174,0,0,0,24857,0,163917,0,0,54.988262683,0.02104807074525186,0.016222696305585402,0.006949903587599802,9,10,15,
30251,0,0,0,28175,0,191236,0,0,55.994882813,0.021075266017842664,0.016203992123116892,0.0068184222806562935,9,10,15,
40223,0,0,0,25898,0,205815,0,0,56.995203425,0.020926081134334258,0.016219879535552206,0.006669017975367492,7,10,15,
36143,0,0,0,26310,0,189157,0,0,57.999255489,0.02084426397217929,0.01623412182761999,0.006579088355530881,12,14,15,
20035,0,0,0,26310,0,239481,0,0,59.001501729,0.020951977328113065,0.01623486208852928,0.00639143563967335,8,10,15,
23078,0,0,0,27488,0,175118,0,0,60.007783358,0.021000333220007522,0.016226836681923262,0.00635271874927768,9,11,15,
17920,0,0,0,25132,0,185290,0,0,61.012552882,0.021110949452416355,0.016234311049121236,0.006303100789569429,6,10,15,
24195,0,0,0,27488,0,265217,0,0,62.016554909,0.02115414283657017,0.016225792973257352,0.006129157895077349,11,11,15,
22654,0,0,0,26310,0,287633,0,0,63.018149904,0.021206684524015886,0.016212543411538473,0.005952636361379665,11,12,15,
11469,0,0,0,26310,0,183750,0,0,64.028052334,0.021384805842124145,0.016201607356398508,0.005931000052119698,13,14,15,
8969,0,0,0,27763,0,86409,0,0,65.069192373,0.02150980883672014,0.01619868908451849,0.006042828709095338,14,14,15,
26394,0,0,0,26310,0,324600,0,0,66.078538938,0.021495652910845906,0.016202481040476197,0.00585214785788876,12,14,15,
25086,0,0,0,26310,0,273443,0,0,67.080719048,0.02150629424956792,0.016204944462194653,0.005738214852153414,6,10,15,
13485,0,0,0,26310,0,251091,0,0,68.0873486,0.02167774570634648,0.016209899830174377,0.005662636946596001,10,10,15,
11790,0,0,0,26722,0,154281,0,0,69.089272943,0.021807954540476186,0.016220070040029656,0.005657293752469374,7,11,15,
29232,0,0,0,26722,0,130089,0,0,70.09925129,0.021784406150937075,0.016230087015591012,0.005697869455491326,6,11,15,
34733,0,0,0,25898,0,212375,0,0,71.100289467,0.021645809970183477,0.016252653368963074,0.005658068162868256,9,10,15,
22471,0,0,0,27076,0,147111,0,0,72.105894483,0.02169537421930676,0.016255356935001748,0.005683743843034778,7,11,15,
