UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
22100,0,0,0,0,0,0,0,0,0.000263914,0.012909582962025318,0,0,14,14,15,
2230,0,0,0,0,0,0,0,0,1.0201508,0.022273802978723403,0,0,14,14,15,
39356,0,0,0,0,0,0,0,0,2.095877675,0.021641519454545455,0,0,14,14,15,
28511,0,0,0,0,0,0,0,0,3.129259763,0.022684694715053765,0,0,12,14,15,
42782,0,0,0,0,0,0,0,0,4.260975867,0.02261068203862661,0,0,14,15,15,
88080,0,0,0,0,0,0,0,0,5.379843798,0.018767639473053894,0,0,10,14,15,
79458,0,0,0,0,0,0,0,0,6.39021556,0.017135681828235296,0,0,12,14,15,
71846,0,0,0,0,0,0,0,0,7.409892174,0.016129393509727627,0,0,14,14,15,
70331,0,0,0,0,0,0,0,0,8.432923819,0.015437853953488371,0,0,11,14,15,
76487,0,0,0,0,0,0,0,0,9.436429687,0.014737773389127325,0,0,12,15,15,
71894,0,0,0,0,0,0,0,0,10.45985785,0.014383904273299747,0,0,14,14,15,
38767,0,0,0,0,0,0,0,0,11.58908633,0.014743533795266271,0,0,14,14,15,
71827,0,0,0,0,0,0,0,0,12.627913531,0.014744761386680988,0,0,11,15,15,
55351,0,0,0,0,0,0,0,0,13.907131634,0.014833282146022152,0,0,10,12,15,
61275,0,0,0,0,0,0,0,0,14.9193396,0.014735420257249764,0,0,7,10,15,
48400,0,0,0,0,0,0,0,0,15.957847618,0.014692726392294218,0,0,7,10,15,
42417,0,0,0,0,0,0,0,0,16.993896246,0.014810480567387686,0,0,10,11,15,
58316,0,0,0,0,0,0,0,0,18.039886053,0.014685534501951598,0,0,13,15,15,
80833,0,0,0,0,0,0,0,0,19.054403212,0.014369507405366204,0,0,14,15,15,
75786,0,0,0,0,0,0,0,0,20.067892154,0.014131327765264583,0,0,10,14,15,
53994,0,0,0,0,0,0,0,16015,21.162111665,0.014164600046722903,0,0.006162871284403669,14,15,15,
39454,0,0,0,0,0,0,0,25967,22.171920269,0.014340769559673363,0,0.005879049042704625,14,15,15,
63057,0,0,0,0,0,0,0,23331,23.183886828,0.014239289270173337,0,0.005955119581447965,10,14,15,
58267,0,0,0,20640,0,0,0,26445,24.193854725,0.014156858134626351,0.015384850659574447,0.005821937682769726,14,15,15,
24543,0,0,0,26007,0,0,0,22573,25.203857456,0.014267292039062495,0.01569214504716981,0.005992777787289233,13,14,15,
16379,0,0,0,26589,0,0,0,24962,26.21000706,0.014539203305234156,0.01606200090361446,0.005938053857749469,12,13,15,
46448,0,0,0,26911,0,0,0,24748,27.213200432,0.014527910656050953,0.016137789185022025,0.005932932244144144,10,14,15,
40108,0,0,0,26030,0,0,0,24682,28.221949291,0.014596717721878223,0.016166408979020983,0.0059573082427564605,10,10,15,
18487,0,0,0,26437,0,0,0,15719,29.246057295,0.01481443416093117,0.01627373571965318,0.00602496709985528,13,14,15,
31282,0,0,0,25623,0,0,0,0,30.253195628,0.014967887893669632,0.01633359733910891,0,14,15,15,
33928,0,0,0,27193,0,0,0,0,31.256029105,0.015095435856108159,0.0162898303304721,0,10,14,15,
26863,0,0,0,26030,0,0,0,0,32.269840689,0.015268048007568591,0.016231381478095233,0,11,13,15,
57922,0,0,0,26030,0,0,0,0,33.284087948,0.01521012622932846,0.016207009970890404,0,11,12,15,
35716,0,0,0,26822,0,0,0,0,34.317636142,0.015313680030370704,0.016249903333850922,0,12,14,15,
33868,0,0,0,26260,0,0,0,0,35.318332769,0.015410502261686327,0.016312588918918902,0,8,10,15,
25708,0,0,0,27149,0,0,0,0,36.32148057,0.015569666492703863,0.016314999494764386,0,11,13,15,
14739,0,0,0,26671,0,0,0,0,37.32991099,0.01575734295598815,0.016347747094660185,0,9,12,15,
