,UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
43900.76,0.0,3242.9,8512.1,27167.66,0.0,3443.46,0.0,26586.98,0.02,0.02,0.01,9.55,13.39,13.95
35471.31,0.0,3221.21,6203.48,27732.79,0.0,1531.04,0.0,18049.17,0.02,0.02,0.0,10.5,13.5,13.95
27814.62,0.0,4905.23,3825.5,27407.88,0.0,279.62,0.0,7384.43,0.02,0.02,0.0,10.29,12.41,13.84
18566.52,0.0,4831.18,2127.51,27739.28,0.0,-70.41,-0.0,611.76,0.02,0.02,-0.0,10.07,11.5,14.09
15970.26,-0.0,3506.16,759.53,27242.42,0.0,1731.91,-0.0,2693.14,0.02,0.02,-0.0,8.45,10.41,14.03
13962.94,-0.0,4871.3,2515.64,25958.85,0.0,-2185.93,-0.0,-14.1,0.02,0.02,-0.0,9.26,9.84,13.87
11631.5,0.0,4685.02,4534.9,26516.11,-0.0,537.24,-0.0,2770.52,0.02,0.02,-0.0,9.65,10.76,13.84
12296.97,-0.0,5201.71,4117.64,24824.32,0.0,-772.93,-0.0,800.23,0.02,0.01,-0.0,9.4,10.25,13.72
13773.46,-0.0,5866.36,1404.36,24698.72,0.0,-1936.06,-0.0,576.19,0.02,0.01,0.0,8.98,10.39,13.7
14379.39,-0.0,5135.74,2266.77,24440.84,0.0,-1529.6,-0.0,787.91,0.02,0.01,-0.0,8.67,9.61,13.75
21251.9,-0.0,-1305.82,-1423.1,21327.83,0.0,-6205.9,-0.0,707.01,0.03,0.02,-0.0,8.38,7.83,14.19
18091.54,-0.0,-366.09,-360.65,20659.05,0.0,-6212.54,-0.0,-189.19,0.03,0.02,-0.0,8.38,7.94,14.27
18318.05,-0.0,-2392.71,-1575.58,24809.18,0.0,418.29,0.0,9007.17,0.02,0.02,0.0,7.3,8.02,14.27
12529.62,-0.0,1790.22,3155.44,25693.34,0.0,4524.9,0.0,15202.96,0.02,0.02,0.0,6.76,8.94,13.67
7169.4,-0.0,1167.48,-1478.12,26586.56,0.0,3316.67,0.0,11881.2,0.02,0.01,0.0,6.92,9.42,13.7
7746.47,-0.0,1102.41,-963.86,25855.61,0.0,2194.03,0.0,12431.72,0.02,0.01,0.0,6.74,9.0,13.64
12922.42,-0.0,-2571.83,-4789.3,25978.02,0.0,2263.3,0.0,12667.52,0.02,0.02,0.0,6.62,8.46,14.35
11704.4,-0.0,-1271.44,-5515.43,26764.74,0.0,3564.14,0.0,9349.98,0.03,0.02,0.0,6.63,8.69,14.45
14972.92,-0.0,-1647.24,-7816.08,27432.87,0.0,3683.06,0.0,5316.24,0.03,0.01,0.0,6.9,8.71,14.76
