UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
16739,0,0,0,0,0,0,0,0,0.000225854
8182,0,0,0,0,0,0,0,0,1.16813193
34067,0,0,0,0,0,0,0,0,2.209163246
48690,0,0,0,0,0,0,0,0,3.353907533
127569,0,0,0,0,0,0,0,0,4.360455033
116166,0,0,0,0,0,0,0,0,5.367971002
137944,0,0,0,0,0,0,0,0,6.377946484
132571,0,0,0,0,0,0,0,0,7.39042776
138357,0,0,0,0,0,0,0,0,8.393947942
76760,0,0,0,0,0,0,0,0,9.407403105
97118,0,0,0,0,0,0,0,0,10.611871402
149814,0,0,0,0,0,0,0,0,11.615019302
140912,0,0,0,0,0,0,0,0,12.623119809
64951,0,0,0,0,0,0,0,0,13.627978443
80056,0,0,0,0,0,0,0,0,14.972171966
140499,0,0,0,0,0,0,0,0,15.979751522
140535,0,0,0,0,0,0,0,0,16.993614653
78562,0,0,0,0,0,0,0,0,18.006867705
108642,0,0,0,0,0,0,0,1845,19.161030184
101266,0,0,0,0,0,0,0,17630,20.168687931
114334,0,0,0,0,0,0,0,21008,21.181563024
48764,0,0,0,0,0,0,0,19607,22.204598714
90539,0,0,0,2595,0,0,0,19179,23.220062996
106692,0,0,0,25986,0,0,0,17910,24.224977612
35668,0,0,0,26130,0,0,0,17630,25.229991587
104583,0,0,0,26130,0,0,0,13890,26.230015292
101370,0,0,0,26689,0,0,0,0,27.250129395
149573,0,0,0,27015,0,0,0,0,28.256325957
111130,0,0,0,26130,0,0,0,0,29.264533231
143327,0,0,0,26130,0,0,0,0,30.272728804
47017,0,0,0,26539,0,0,0,0,31.285235101
81706,0,0,0,26890,0,0,0,0,32.291248772
91184,0,0,0,26184,0,0,0,0,33.306852642
99414,0,0,0,26310,0,0,0,0,34.315060656
29392,0,0,0,26872,0,0,0,0,35.329890415
99989,0,0,0,25748,0,0,0,0,36.353513805
124323,0,0,0,27763,0,0,0,0,37.359148043
128344,0,0,0,26310,0,0,0,0,38.368120142
55575,0,0,0,26722,0,0,0,0,39.383985627
136710,0,0,0,26310,0,0,0,0,40.388261167
141854,0,0,0,27076,0,0,0,0,41.394295673
60585,0,0,0,26310,0,0,0,0,42.403381047
150784,0,0,0,26310,0,0,0,8551,43.425547206
133342,0,0,0,26310,0,0,0,21090,44.430120779
23578,0,0,0,26310,0,0,0,17696,45.438204226
30829,0,0,0,26872,0,0,0,10842,46.450199457
112888,0,0,0,27201,0,0,0,0,47.456518661
189479,0,0,0,26310,0,0,0,0,48.469606964
121161,0,0,0,26310,0,0,0,0,49.478504607
41962,0,0,0,26722,0,0,0,0,50.485276918
43297,0,0,0,27076,0,0,0,0,51.491251345
138618,0,0,0,26310,0,1284,0,0,52.508140711
142314,0,0,0,26310,0,0,0,0,53.513815948
147148,0,0,0,26310,0,15460,0,0,54.522304777
139870,0,0,0,26310,0,47325,0,0,55.524158452
138661,0,0,0,26310,0,25003,0,0,56.533108102
56451,0,0,0,26872,0,46566,0,0,57.546787883
103780,0,0,0,27201,0,92664,0,0,58.559580832
139835,0,0,0,25419,0,139890,0,0,59.560126811
139640,0,0,0,27201,0,148200,0,0,60.561466786
133195,0,0,0,26310,0,136417,0,0,61.568138742
146544,0,0,0,26310,0,138881,0,0,62.574861196
46087,0,0,0,26722,0,65177,0,0,63.583252451
96844,0,0,0,27076,0,107040,0,0,64.594300274
97859,0,0,0,26310,0,114378,0,0,65.650278074
83486,0,0,0,28175,0,94634,0,0,66.651443273
53836,0,0,0,25898,0,76813,0,0,67.685341637
123323,0,0,0,27488,0,115320,0,0,68.686911912
61153,0,0,0,26310,0,55947,0,0,69.696214662
98609,0,0,0,26310,0,105820,0,0,70.705866945
91733,0,0,0,26872,0,100334,0,0,71.714774583
87528,0,0,0,25748,0,92682,0,0,72.753537489
139302,0,0,0,27763,0,104409,0,0,73.755022031
143540,0,0,0,26310,0,115339,0,0,74.762666886
68848,0,15537,0,26310,0,93505,0,0,75.770618596
86032,0,18042,0,26310,0,80622,0,0,76.782382905
140126,0,8815,0,26722,0,126239,0,0,77.786222657
33771,0,21156,0,25898,0,28556,0,0,78.788407391
20620,0,24682,0,27488,0,12565,0,0,79.794400133
73888,0,20744,0,26310,0,134836,0,0,80.797911758
3038,0,25094,0,26310,0,132228,0,0,81.803692838
24088,0,24270,0,26310,0,133026,0,0,82.808486433
4234,0,22327,0,26310,0,89186,0,0,83.815974861
2926,0,26033,0,26310,0,128674,0,0,84.840244398
3064,0,24682,0,26872,0,85585,0,0,85.847306043
3064,0,25094,0,25748,0,110193,0,0,86.850725738
3064,0,24916,0,27763,0,32332,0,0,87.855090764
3064,0,24448,0,26310,0,129477,0,0,88.858494477
3064,0,26033,0,26722,0,79458,0,0,89.870206467
3064,0,24682,0,26310,0,28250,0,0,90.885389031
3064,0,24814,0,26310,0,141353,0,0,91.891332046
1638,0,24962,0,27076,0,146389,0,0,92.891422213
0,0,26099,0,2631,0,65688,0,0,93.900188902
0,0,25028,0,0,0,36703,0,0,94.92024283
0,0,26033,0,0,0,194860,0,0,95.929346449
0,0,24946,0,0,0,161667,0,0,96.942909008
0,0,66,0,0,0,103137,0,0,97.960325319
0,0,0,0,0,0,252,0,16015,99.010296372
0,0,0,0,0,0,20407,0,18981,100.040345188
0,0,0,0,0,0,4535,0,18042,101.060281975
0,0,0,0,0,0,3176,0,17696,102.088057736
0,0,0,4053,0,0,27274,0,17498,103.090378902
0,0,0,12756,0,0,87267,0,22507,104.112319639
0,0,0,132,0,0,20358,0,17894,105.122030582
0,0,0,0,0,0,3064,0,17778,106.145305294
0,0,0,31031,0,0,3064,0,19047,107.172282934
0,0,0,97071,0,0,3064,0,17762,108.180313745
0,0,0,70086,0,0,3064,0,17976,109.188381616
0,0,0,128361,0,0,3064,0,21024,110.190358832
0,0,0,115937,0,0,3064,0,24336,111.205010836
0,0,0,106463,0,0,3064,0,19393,112.211625257
0,0,0,68812,0,0,3064,0,19591,113.220353359
0,0,0,112613,0,0,2926,0,19129,114.226322606
0,0,0,119981,0,0,546,0,23397,115.23136147
0,0,0,15312,0,0,0,0,19179,116.24038331
0,0,0,12130,0,0,0,0,17844,117.256246975
0,0,0,88517,0,0,0,0,22441,118.270414048
0,0,0,180652,0,0,0,0,25094,119.28443275
0,0,0,201445,0,0,0,0,26033,120.293392992
0,0,0,144185,0,0,0,0,23397,121.296534754
0,0,0,29503,0,0,0,0,24270,122.300395117
0,0,0,133731,0,0,0,0,23331,123.302389194
0,0,0,114471,0,0,0,0,24336,124.305093943
0,0,9029,30448,0,0,0,0,19261,125.318367449
0,0,25901,131059,0,0,0,0,19525,126.318415616
0,0,25094,138380,0,0,0,0,19393,127.325414698
0,0,26033,120248,0,0,0,0,17976,128.330413485
0,0,25094,24123,0,0,0,0,17696,129.35534699
0,0,24682,16985,0,0,0,0,17864,130.360416315
0,0,26033,87318,0,0,0,0,19093,131.360609261
0,0,24748,180081,0,0,0,0,19393,132.363511123
0,0,25028,168987,0,0,0,0,20678,133.370527531
0,0,26033,127164,0,0,0,0,21354,134.377423045
0,0,24814,84854,0,0,0,0,17844,135.37869582
0,0,25028,19141,0,0,0,0,17630,136.382086134
0,0,25967,46336,0,0,0,0,17696,137.392394325
0,0,23397,159982,0,0,0,0,19179,138.400360447
0,0,26033,139216,0,0,0,0,17630,139.405370013
0,0,25028,78602,0,0,0,0,17778,140.405461201
0,0,26033,163657,0,0,0,0,20810,141.411423463
0,0,24814,187632,0,0,0,0,25028,142.41776837
0,0,25028,136787,0,0,0,0,26033,143.423440966
0,0,25967,130570,0,0,0,0,24814,144.430770926
0,0,25094,19552,0,0,0,0,21436,145.435412182
0,0,26033,29167,0,0,0,0,19459,146.452410382
0,0,25094,129316,0,0,0,0,22441,147.47049399
0,0,26033,137264,0,0,0,0,21634,148.480784707
0,0,10908,122045,0,0,0,0,12193,149.484019726
0,0,0,136618,0,0,0,0,0,150.489486627
0,0,0,85538,0,0,0,0,0,151.515760165
0,0,0,145926,0,0,0,0,0,152.522498708
0,0,0,99135,0,0,0,0,0,153.537621801
0,0,0,44945,0,0,0,0,0,154.608214425
0,0,0,19380,0,0,0,0,0,155.62624952
0,0,0,20305,0,0,0,0,0,156.686933463
0,0,0,4258,0,0,0,0,0,157.745936638
0,0,0,3202,0,0,0,0,0,158.803906724
0,0,0,3202,0,0,0,0,0,159.863693458
0,0,0,3202,0,0,0,0,0,160.921801262
0,0,0,3202,0,0,0,0,0,161.983808826
0,0,0,3202,0,0,0,0,0,163.041685286
0,0,0,3202,0,0,0,0,0,164.101373478
0,0,0,3202,0,0,0,0,0,165.164258114
