UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
11583,0,0,0,0,0,0,0,0,2.3438e-05-
5081,0,0,0,0,0,0,0,0,0.789927346-
340,0,0,0,0,0,0,0,0,1.611928182
54199,0,0,0,0,0,0,0,0,2.779995923
69682,0,0,0,0,0,0,0,0,3.794624269
95384,0,0,0,0,0,0,0,0,4.876917198
97296,0,0,0,0,0,0,0,0,5.909962826
130418,0,0,0,0,0,0,0,0,6.919940785
93024,0,0,0,0,0,0,0,0,7.999889946
104190,0,0,0,0,0,0,0,0,9.009281162
74141,0,0,0,0,0,0,0,0,10.017059711
94015,0,0,0,0,0,0,0,0,11.034861788
72921,0,0,0,0,0,0,0,0,12.047459302
136192,0,0,0,0,0,0,0,0,13.054708195
66763,0,0,0,0,0,0,0,0,14.078518795
134944,0,0,0,0,0,0,0,0,15.141015334
118428,0,0,0,0,0,0,0,0,16.149695769
116369,0,0,0,0,0,0,0,0,17.159996078
76421,0,0,0,0,0,0,0,0,18.279987714
136719,0,0,0,0,0,0,0,0,19.294387796
49268,0,0,0,0,0,0,0,0,20.369933154
143829,0,0,0,0,0,0,0,14186,21.56732264
90259,0,0,0,15678,0,0,0,22845,22.573966785
84593,0,0,0,26256,0,0,0,20818,23.577183002
127985,0,0,0,26310,0,0,0,17762,24.583983273
31427,0,0,0,26310,0,0,0,18042,25.599890006
130880,0,0,0,26310,0,0,0,22787,26.601950186
81194,0,0,0,26310,0,0,0,22507,27.604972172
83731,0,0,0,27763,0,0,0,16197,28.611061191
50728,0,0,0,26310,0,0,0,0,29.62480882
126530,0,0,0,27488,0,0,0,0,30.641606446
135530,0,0,0,25544,0,0,0,0,31.645139564
72838,0,0,0,27220,0,0,0,0,32.646103571
143614,0,0,0,26490,0,0,0,0,33.675711107
34407,0,0,0,26490,0,0,0,0,34.693466104
151751,0,0,0,26490,0,0,0,0,35.693939803
65406,0,0,0,26490,0,0,0,0,36.707799701
134405,0,0,0,27952,0,0,0,0,37.71107665
124491,0,0,0,26490,0,0,0,0,38.727221336
87004,0,0,0,26905,0,0,0,0,39.735456814
75956,0,0,0,26490,0,0,0,0,40.740202308
111973,0,0,0,26905,0,0,0,0,41.740271145
120489,0,0,0,26847,0,0,0,0,42.740547036
60229,0,0,0,26490,0,0,0,0,43.743615307
121639,0,0,0,26490,0,0,0,0,44.755474198
113749,0,0,0,26490,0,0,0,8617,45.772868216
87236,0,0,0,26490,0,0,0,18042,46.780035485
64483,0,0,0,26490,0,0,0,17798,47.782053906
124256,0,0,0,26490,0,0,0,11959,48.782229016
100818,0,0,0,27055,0,0,0,0,49.794386477
47405,0,0,0,26855,0,0,0,0,50.802421741
748,0,0,0,27022,0,0,0,0,51.802508815
54486,0,0,0,26905,0,0,0,0,52.837116951
157749,0,0,0,26905,0,0,0,0,53.837247536
151611,0,0,0,26847,0,0,0,0,54.837543939
148791,0,0,0,26490,0,0,0,0,55.847652679
137596,0,0,0,26490,0,0,0,0,56.866196731
174530,0,0,0,26490,0,1284,0,0,57.880198041
142571,0,0,0,26490,0,0,0,0,58.890036349
132252,0,0,0,27055,0,0,0,0,59.899154908
133988,0,0,0,26855,0,15388,0,0,60.899494022
144602,0,0,0,27022,0,58958,0,0,61.8995695
140658,0,0,0,26490,0,60689,0,0,62.909265452
145020,0,0,0,26490,0,80053,0,0,63.913148474
139772,0,0,0,26490,0,58918,0,0,64.914839308
100276,0,0,0,26490,0,82678,0,0,65.915736239
71166,0,0,0,26490,0,54283,0,0,66.922323466
108183,0,0,0,26490,0,82594,0,0,67.922647621
112957,0,0,0,26905,0,91344,0,0,68.934265116
145871,0,0,0,27262,0,123160,0,0,69.934349728
65693,0,0,0,26490,0,59124,0,0,70.937140012
129531,0,0,0,26490,0,129167,0,0,71.937492813
128148,0,0,0,26490,0,128531,0,0,72.9437505
81958,0,0,0,26490,0,96403,0,0,73.950121782
80812,0,214,0,26490,0,88555,0,0,74.953067911
93807,0,20876,0,26490,0,107517,0,0,75.962327234
118728,0,17778,0,26490,0,119619,0,0,76.965986056
45739,0,22507,0,26490,0,51332,0,0,77.972288406
35654,0,22919,0,26490,0,117702,0,0,78.977217732
40304,0,19393,0,26490,0,127281,0,0,79.984832704
16342,0,23331,0,27055,0,34192,0,0,80.999572882
5288,0,22919,0,27387,0,86772,0,0,82.011598107
2898,0,26033,0,26490,0,125089,0,0,83.012169117
2898,0,25094,0,26490,0,106279,0,0,84.020375032
2760,0,24748,0,26490,0,94850,0,0,85.022826018
2898,0,22919,0,26490,0,79921,0,0,86.030212671
2898,0,26033,0,26490,0,115652,0,0,87.036210268
2898,0,22853,0,26905,0,1016,0,0,88.046335622
2898,0,23331,0,27262,0,692,0,0,89.046362681
2898,0,24748,0,26490,0,11129,0,0,90.07217652
3138,0,24616,0,26490,0,7808,0,0,91.090166434
1500,0,26033,0,23607,0,217622,0,0,92.097551549
0,0,25094,0,1092,0,241115,0,0,93.106552585
0,0,24270,0,1092,0,140651,0,0,94.112100837
0,0,24748,0,0,0,63691,0,0,95.119266223
0,0,25028,0,1092,0,106927,0,0,96.122212684
0,0,6970,0,0,0,80628,0,0,97.129663531
0,0,0,0,0,0,134229,0,0,98.162302146
720,0,0,0,0,0,137409,0,0,99.175964855
0,0,0,0,1092,0,64090,0,0,100.18421378
0,0,0,0,0,0,127621,0,12489,101.196249552
0,0,0,0,0,0,90775,0,18981,102.215415747
0,0,0,0,0,0,130746,0,15801,103.223006469
0,0,0,888,1092,0,122987,0,16279,104.231913343
0,0,0,12074,0,0,45641,0,20810,105.240425159
0,0,0,264,0,0,28075,0,19525,106.252239216
0,0,0,0,0,0,11543,0,17910,107.26039309
0,0,0,0,1092,0,3064,0,17864,108.282263383
0,0,0,32510,0,0,3064,0,17696,109.282431333
0,0,0,132920,0,0,2926,0,19093,110.282564699
0,0,0,89163,0,0,3064,0,21156,111.292270032
0,0,0,118920,1092,0,3064,0,24204,112.306768739
0,0,0,106172,0,0,3064,0,23331,113.309273744
0,0,0,37555,0,0,3064,0,19459,114.314238228
0,0,0,137372,0,0,3064,0,20942,115.322247777
0,0,0,82315,1092,0,3064,0,20892,116.32717508
