UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
16749,0,0,0,0,0,0,0,0,2.0938e-05
7829,0,0,0,0,0,0,0,0,1.06899165
15894,0,0,0,0,0,0,0,0,2.074215077
53842,0,0,0,0,0,0,0,0,3.216026155
101067,0,0,0,0,0,0,0,0,4.228035306
61312,0,0,0,0,0,0,0,0,5.24130935
18198,0,0,0,0,0,0,0,0,6.278055107
32519,0,0,0,0,0,0,0,0,7.338063076
34189,0,0,0,0,0,0,0,0,8.377708298
33623,0,0,0,0,0,0,0,0,9.419015142
36105,0,0,0,0,0,0,0,0,10.513969639
15413,0,0,0,0,0,0,0,0,11.534552298
15548,0,0,0,0,0,0,0,0,12.575812493
58671,0,0,0,0,0,0,0,0,13.72821828
63785,0,0,0,0,0,0,0,0,14.745930025
66444,0,0,0,0,0,0,0,0,15.772418989
48566,0,0,0,0,0,0,0,0,16.790987202
79748,0,0,0,0,0,0,0,0,17.893587229
85636,0,0,0,0,0,0,0,0,18.911245678
77271,0,0,0,0,0,0,0,382,19.969009928
21957,0,0,0,0,0,0,0,19019,20.971057342
14522,0,0,0,0,0,0,0,17704,21.976073547
85578,0,0,0,0,0,0,0,21156,22.998996502
84061,0,0,0,0,0,0,0,17630,24.003981209
72673,0,0,0,26148,0,0,0,19525,25.009268274
142290,0,0,0,26310,0,0,0,20612,26.010990912
140391,0,0,0,26310,0,0,0,18108,27.012948374
59197,0,0,0,26872,0,0,0,5141,28.014231676
88208,0,0,0,27201,0,0,0,0,29.050408021
142689,0,0,0,26310,0,0,0,0,30.051617776
147813,0,0,0,26310,0,0,0,0,31.062432406
35977,0,0,0,26722,0,0,0,0,32.071069112
88312,0,0,0,26310,0,0,0,0,33.073136729
137287,0,0,0,26340,0,0,0,0,34.079227054
141523,0,0,0,27262,0,0,0,0,35.085211119
64904,0,0,0,26490,0,0,0,0,36.097613913
48210,0,0,0,26490,0,0,0,0,37.141115644
136789,0,0,0,27952,0,0,0,0,38.147205074
132547,0,0,0,26490,0,0,0,0,39.155866058
124908,0,0,0,26490,0,0,0,0,40.16377482
141375,0,0,0,27677,0,0,0,0,41.179064596
28595,0,0,0,26490,0,0,0,0,42.191628418
112886,0,0,0,26490,0,0,0,0,43.218133365
97719,0,0,0,26490,0,0,0,22589,44.244072626
81102,0,0,0,27952,0,0,0,21494,45.25013265
31587,0,0,0,26490,0,0,0,17622,46.266221619
56232,0,0,0,26490,0,0,0,0,47.278565319
171964,0,0,0,27677,0,0,0,0,48.280462086
149592,0,0,0,26490,0,0,0,0,49.289026496
128884,0,0,0,26490,0,0,0,0,50.302098429
129695,0,0,0,26490,0,0,0,0,51.319814958
133205,0,0,0,26490,0,0,0,0,52.33850808
90253,0,0,0,27952,0,0,0,0,53.350183009
136887,0,0,0,26490,0,0,0,0,54.359191168
129358,0,0,0,26490,0,0,0,0,55.379197549
63781,0,0,0,27677,0,0,0,0,56.385178938
40144,0,0,0,26490,0,1284,0,0,57.398619637
139573,0,0,0,26490,0,0,0,0,58.441175956
150860,0,0,0,27952,0,0,0,0,59.447140372
133107,0,0,0,26490,0,0,0,0,60.458011225
100456,0,0,0,26490,0,36498,0,0,61.466089323
140961,0,0,0,27677,0,20844,0,0,62.475958441
142443,0,0,0,26490,0,62371,0,0,63.489028283
141228,0,0,0,26490,0,44725,0,0,64.494652959
132673,0,0,0,26490,0,49139,0,0,65.514785842
135449,0,0,0,26490,0,44787,0,0,66.517395404
140387,0,0,0,26490,0,27885,0,0,67.528536211
141902,0,0,0,27055,0,40740,0,0,68.534035788
58949,0,0,0,27387,0,32878,0,0,69.550450325
5707,0,0,0,26905,0,10950,0,0,70.573215598
10275,0,0,0,26490,0,5403,0,0,71.579214151
59446,0,0,0,27262,0,63332,0,0,72.585209232
109615,0,0,0,26490,0,62815,0,0,73.595014019
142395,0,0,0,26490,0,79621,0,0,74.601760743
148688,0,7134,0,26490,0,84057,0,0,75.607260363
148984,0,7052,0,26490,0,90884,0,0,76.608375642
118088,0,7118,0,26490,0,75133,0,0,77.616857013
42042,0,20876,0,26490,0,37247,0,0,78.623768992
78230,0,19261,0,26490,0,79920,0,0,79.627261236
138240,0,14038,0,26490,0,153147,0,0,80.631624926
93673,0,18108,0,27952,0,125109,0,0,81.639952522
32167,0,22985,0,26490,0,59388,0,0,82.648358443
2926,0,25901,0,26490,0,159679,0,0,83.649121852
3064,0,23463,0,26490,0,162670,0,0,84.655998704
