UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
10978,0,0,0,0,0,0,0,0,2.341e-05
6036,0,0,0,0,0,0,0,0,1.032167668
66,0,0,0,0,0,0,0,0,2.201908077-
142,0,0,0,0,0,0,0,0,4.339990281-
44594,0,0,0,0,0,0,0,0,4.340012955
82456,0,0,0,0,0,0,0,0,5.349366657
40527,0,0,0,0,0,0,0,0,6.369910531
28655,0,0,0,0,0,0,0,0,7.728024045
63700,0,0,0,0,0,0,0,0,8.729954703
68899,0,0,0,0,0,0,0,0,9.740010866
20416,0,0,0,0,0,0,0,0,10.759875296
40808,0,0,0,0,0,0,0,0,11.788917172
76373,0,0,0,0,0,0,0,0,12.803498061
60396,0,0,0,0,0,0,0,0,13.816929547
87197,0,0,0,0,0,0,0,0,14.827256893
77199,0,0,0,0,0,0,0,0,15.840003589
11860,0,0,0,0,0,0,0,0,16.86993956
48543,0,0,0,0,0,0,0,0,18.17218104
118499,0,0,0,0,0,0,0,0,19.196456817
90485,0,0,0,0,0,0,0,8823,20.209396948
32011,0,0,0,0,0,0,0,17770,21.217153599
145898,0,0,0,0,0,0,0,24682,22.221991485
138994,0,0,0,11793,0,0,0,25967,23.230638456
49576,0,0,0,25999,0,0,0,21156,24.238868661
142295,0,0,0,26080,0,0,0,19525,25.241891296
51101,0,0,0,26080,0,0,0,21024,26.243882917
128979,0,0,0,26080,0,0,0,21156,27.254450085
123729,0,0,0,26488,0,0,0,3856,28.260043396
51393,0,0,0,26838,0,0,0,0,29.266057478
62423,0,0,0,26080,0,0,0,0,30.322039692
134448,0,0,0,27522,0,0,0,0,31.327970727
119385,0,0,0,26488,0,0,0,0,32.333752057
112100,0,0,0,26964,0,0,0,0,33.363078627
148337,0,0,0,26260,0,0,0,0,34.369789415
33085,0,0,0,26260,0,0,0,0,35.373353943
112381,0,0,0,27711,0,0,0,0,36.431026161
125697,0,0,0,26260,0,0,0,0,37.443462548
106826,0,0,0,26260,0,0,0,0,38.449828764
57311,0,0,0,26260,0,0,0,0,39.459656083
137162,0,0,0,27435,0,0,0,0,40.466041873
142020,0,0,0,26260,0,0,0,0,41.474986261
146190,0,0,0,26260,0,0,0,0,42.488464775
12520,0,0,0,26260,0,0,0,0,43.502068714
71202,0,0,0,26260,0,0,0,1433,44.512903103
133187,0,0,0,26260,0,0,0,24682,45.518863652
132724,0,0,0,27711,0,0,0,23331,46.52800158
136773,0,0,0,26260,0,0,0,24336,47.533910632
108758,0,0,0,26671,0,0,0,23183,48.539232689
19908,0,0,0,25849,0,0,0,0,49.557107851
138580,0,0,0,27435,0,0,0,0,50.563039632
135448,0,0,0,26260,0,0,0,0,51.576472687
138008,0,0,0,26260,0,0,0,0,52.590165867
34097,0,0,0,26822,0,1284,0,0,53.598670995
70184,0,0,0,26260,0,0,0,0,54.625352572
128970,0,0,0,27149,0,21737,0,0,55.631318596
106076,0,0,0,26260,0,50717,0,0,56.660103681
82638,0,0,0,27997,0,10376,0,0,57.666059119
84625,0,0,0,26260,0,69266,0,0,58.722343084
134995,0,0,0,27149,0,109332,0,0,59.728368625
97011,0,0,0,26260,0,138248,0,0,60.73224283
17054,0,0,0,26260,0,89895,0,0,61.73991121
115018,0,0,0,26260,0,132869,0,0,62.757037949
88797,0,0,0,27435,0,136295,0,0,63.763077591
139750,0,0,0,26260,0,138635,0,0,64.769992983
66409,0,0,0,26260,0,73919,0,0,65.775473363
147196,0,0,0,26260,0,126974,0,0,66.780440943
134387,0,0,0,26260,0,138823,0,0,67.791921532
76012,0,0,0,26822,0,53003,0,0,68.795366971
30608,0,0,0,26260,0,36592,0,0,69.82540687
8898,0,0,0,27149,0,10252,0,0,70.831412841
143644,0,0,0,26260,0,163319,0,0,71.851402388
187520,0,0,0,26671,0,152051,0,0,72.857099238
169198,0,0,0,25849,0,127654,0,0,73.860155638
135298,0,148,0,27435,0,123459,0,0,74.864374675
131333,0,1697,0,26260,0,127770,0,0,75.873392021
83253,0,3592,0,26260,0,129048,0,0,76.882408327
1768,0,24682,0,26260,0,68172,0,0,77.891506218
99457,0,21090,0,26260,0,122645,0,0,78.900031085
88282,0,22985,0,26260,0,141122,0,0,79.907005966
32560,0,22853,0,26260,0,56420,0,0,80.910043423
4428,0,21522,0,26260,0,67567,0,0,81.920109143
3064,0,25667,0,26822,0,149666,0,0,82.920226991
3064,0,22327,0,25698,0,131601,0,0,83.922180329
3064,0,22919,0,27711,0,113937,0,0,84.92809345
3064,0,25352,0,26260,0,115257,0,0,85.940495083
2926,0,24012,0,26260,0,119648,0,0,86.941065087
3064,0,26033,0,26260,0,104693,0,0,87.946343095
3064,0,25094,0,26671,0,57822,0,0,88.957094108
