UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
13259,0,0,0,0,0,0,0,0,2.0647e-05
10850,0,0,0,0,0,0,0,0,1.002160655
23524,0,0,0,0,0,0,0,0,2.041138943
18219,0,0,0,0,0,0,0,0,3.144419578
135471,0,0,0,0,0,0,0,0,4.23130305
110598,0,0,0,0,0,0,0,0,5.239885354
131620,0,0,0,0,0,0,0,0,6.247498153
105198,0,0,0,0,0,0,0,0,7.260933866
17378,0,0,0,0,0,0,0,0,8.27368342
144299,0,0,0,0,0,0,0,0,9.284574784
132866,0,0,0,0,0,0,0,0,10.298292364
26739,0,0,0,0,0,0,0,0,11.31000122
56271,0,0,0,0,0,0,0,0,12.459529621
145650,0,0,0,0,0,0,0,0,13.486308185
150121,0,0,0,0,0,0,0,0,14.500358532
72070,0,0,0,0,0,0,0,0,15.508171614
136486,0,0,0,0,0,0,0,0,16.515052331
141397,0,0,0,0,0,0,0,0,17.523448933
93684,0,0,0,0,0,0,0,0,18.536050942
9524,0,0,0,0,0,0,0,1499,19.548264161
692,0,0,0,0,0,0,0,17696,20.571973323
135528,0,0,0,0,0,0,0,23331,21.574862835
194981,0,0,0,0,0,0,0,24616,22.582028243
220912,0,0,0,25918,0,0,0,24270,23.586392103
96246,0,0,0,26080,0,0,0,19805,24.589152278
14786,0,0,0,26080,0,0,0,19393,25.610011905
112,0,0,0,26997,0,0,0,17630,26.621097489
9019,0,0,0,26080,0,0,0,6904,27.621318329
336,0,0,0,27013,0,0,0,0,28.621517899
79689,0,0,0,26080,0,0,0,0,29.656177705
168867,0,0,0,26080,0,0,0,0,30.656204928
152240,0,0,0,26838,0,0,0,0,31.656255307
131597,0,0,0,26116,0,0,0,0,32.664717403
130501,0,0,0,26260,0,0,0,0,33.682636525
132446,0,0,0,26260,0,0,0,0,34.696240358
136928,0,0,0,26260,0,0,0,0,35.709043468
101092,0,0,0,27183,0,0,0,0,36.718136486
50805,0,0,0,26788,0,0,0,0,37.718416237
115542,0,0,0,26671,0,0,0,0,38.727239474
68426,0,0,0,27024,0,0,0,0,39.753243445
98267,0,0,0,26822,0,0,0,0,40.757292777
69869,0,0,0,27196,0,0,0,0,41.815445468
13030,0,0,0,26722,0,0,0,0,42.820022335
200,0,0,0,27076,0,0,0,0,43.8502733
57895,0,0,0,26872,0,0,0,19475,44.912195686
177764,0,0,0,27201,0,0,0,24748,45.912522302
149614,0,0,0,26310,0,0,0,19179,46.922156209
107012,0,0,0,26310,0,0,0,66,47.940061287
137269,0,0,0,27134,0,0,0,0,48.947190127
84042,0,0,0,26664,0,0,0,0,49.947433129
68145,0,0,0,26872,0,0,0,0,51.009220499
169386,0,0,0,27201,0,0,0,0,52.009553462
172850,0,0,0,26310,0,0,0,0,53.01538188
132698,0,0,0,26310,0,0,0,0,54.02878027
133444,0,0,0,26310,0,1284,0,0,55.037042998
132067,0,0,0,26722,0,0,0,0,56.044233152
108221,0,0,0,27076,0,15780,0,0,57.044298901
137496,0,0,0,26310,0,60607,0,0,58.051784213
141198,0,0,0,26310,0,36468,0,0,59.059143091
7882,0,0,0,26872,0,828,0,0,60.065556819
26315,0,0,0,27201,0,58287,0,0,61.121552763
4774,0,0,0,26310,0,70814,0,0,62.132089466
962,0,0,0,26722,0,127491,0,0,63.138536011
22736,0,0,0,26310,0,580,0,0,64.156275684
