UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
10182,0,0,0,0,0,0,0,0,0.000279773-
8971,0,0,0,0,0,0,0,0,0.80383127-
9272,0,0,0,0,0,0,0,0,1.522374766
27902,0,0,0,0,0,0,0,0,3.121971837
66783,0,0,0,0,0,0,0,0,4.130275282
13852,0,0,0,0,0,0,0,0,5.548560722
112957,0,0,0,0,0,0,0,0,6.599888159
127472,0,0,0,0,0,0,0,0,7.614866632
141257,0,0,0,0,0,0,0,0,8.622508556
143143,0,0,0,0,0,0,0,0,9.635808856
134696,0,0,0,0,0,0,0,0,10.649175689
102297,0,0,0,0,0,0,0,0,11.662228153
125107,0,0,0,0,0,0,0,0,12.680085693
87933,0,0,0,0,0,0,0,0,13.702438953
125202,0,0,0,0,0,0,0,0,14.715866584
65173,0,0,0,0,0,0,0,0,15.728703521
76839,0,0,0,0,0,0,0,0,16.731081694
77319,0,0,0,0,0,0,0,0,18.042147667
141611,0,0,0,0,0,0,0,0,19.050052198
84143,0,0,0,0,0,0,0,13906,20.0558869
130117,0,0,0,0,0,0,0,23199,21.070014581
88280,0,0,0,0,0,0,0,22639,22.081319508
140039,0,0,0,15450,0,0,0,24550,23.087108911
111536,0,0,0,25911,0,0,0,21634,24.089115489
48965,0,0,0,27418,0,0,0,18915,25.122138413
144997,0,0,0,25980,0,0,0,21288,26.132145443
55593,0,0,0,25980,0,0,0,19327,27.140063508
113664,0,0,0,25980,0,0,0,17894,28.144063074
90829,0,0,0,26386,0,0,0,0,29.151757166
50339,0,0,0,25574,0,0,0,0,30.153297169
149077,0,0,0,27140,0,0,0,0,31.164132646
46405,0,0,0,25980,0,0,0,0,32.215207799
139876,0,0,0,27613,0,0,0,0,33.221230811
38328,0,0,0,26210,0,0,0,0,34.226167942
100877,0,0,0,26210,0,0,0,0,35.234426252
114307,0,0,0,26620,0,0,0,0,36.242510147
55856,0,0,0,26972,0,0,0,0,37.256344985
137927,0,0,0,26210,0,0,0,0,38.265152397
85151,0,0,0,26210,0,0,0,0,39.318216453
98668,0,0,0,28069,0,0,0,0,40.32785219
62910,0,0,0,25800,0,0,0,0,41.353377397
117471,0,0,0,27382,0,0,0,0,42.362209468
121755,0,0,0,26210,0,0,0,0,43.375238101
130419,0,0,0,26210,0,0,0,0,44.393545343
87277,0,0,0,26210,0,0,0,8617,45.400122448
