UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
16738,0,0,0,0,0,0,0,0,5.638107087
7803,0,0,0,0,0,0,0,0,6.708096625
39368,0,0,0,0,0,0,0,0,7.753258877
46551,0,0,0,0,0,0,0,0,8.78814645
117402,0,0,0,0,0,0,0,0,9.8546926
16034,0,0,0,0,0,0,0,0,10.876072379
70594,0,0,0,0,0,0,0,0,11.925538031
59232,0,0,0,0,0,0,0,0,12.942995368-
12432,0,0,0,0,0,0,0,0,13.717463575-
24582,0,0,0,0,0,0,0,0,14.496127939
118259,0,0,0,0,0,0,0,0,15.563101408
138204,0,0,0,0,0,0,0,0,16.575067824
123618,0,0,0,0,0,0,0,0,17.590468122
129037,0,0,0,0,0,0,0,0,18.597727525
139427,0,0,0,0,0,0,0,0,19.611003209
142882,0,0,0,0,0,0,0,0,20.629497702
131628,0,0,0,0,0,0,0,0,21.631892673
127921,0,0,0,0,0,0,0,0,22.645643384
73643,0,0,0,0,0,0,0,0,23.673079622
132303,0,0,0,0,0,0,0,0,24.680057517
129802,0,0,0,0,0,0,0,214,25.690202021
312,0,0,0,0,0,0,0,17630,26.700188641
44719,0,0,0,0,0,0,0,19187,27.700261109
444,0,0,0,25918,0,0,0,17704,28.725338344
100213,0,0,0,26080,0,0,0,22507,29.73055953
174851,0,0,0,26080,0,0,0,23051,30.743485899
138033,0,0,0,26080,0,0,0,19327,31.75180483
48674,0,0,0,26080,0,0,0,19327,32.754860631
53227,0,0,0,26639,0,0,0,9145,33.76213124
210294,0,0,0,26963,0,0,0,0,34.769600261
208394,0,0,0,26080,0,0,0,0,35.776967129
128830,0,0,0,26488,0,0,0,0,36.788123554
11882,0,0,0,26110,0,0,0,0,37.798323098
37250,0,0,0,27024,0,0,0,0,38.8042899
143974,0,0,0,26260,0,0,0,0,39.81704369
188661,0,0,0,26260,0,0,0,0,40.831001627
148675,0,0,0,26260,0,0,0,0,41.844546812
119006,0,0,0,26260,0,0,0,0,42.862638845
46020,0,0,0,27711,0,0,0,0,43.868117636
132230,0,0,0,24809,0,0,0,0,44.878146924
137360,0,0,0,27711,0,0,0,0,45.879260349
142114,0,0,0,26260,0,0,0,0,46.888148212
146203,0,0,0,27435,0,0,0,0,47.907435228
132588,0,0,0,26260,0,0,0,0,48.915299325
56388,0,0,0,26260,0,0,0,0,49.924456331
106609,0,0,0,27577,0,0,0,0,50.963347108
22697,0,0,0,27149,0,0,0,15801,51.969536156
138084,0,0,0,26260,0,0,0,24418,52.99510123
129809,0,0,0,26671,0,0,0,23331,53.99718077
26374,0,0,0,25849,0,0,0,3444,54.998384717
139389,0,0,0,27435,0,0,0,0,56.004365361
136239,0,0,0,26260,0,0,0,0,57.018083673
147614,0,0,0,26260,0,1284,0,0,58.020961854
137643,0,0,0,26260,0,11679,0,0,59.029793125
109684,0,0,0,26260,0,264,0,0,60.038215231
84687,0,0,0,26260,0,0,0,0,61.05140823
70602,0,0,0,27711,0,0,0,0,62.063370417
146584,0,0,0,26260,0,0,0,0,63.07083481
139305,0,0,0,26260,0,36891,0,0,64.079148798
139833,0,0,0,26260,0,46084,0,0,65.093597188
130024,0,0,0,27435,0,86237,0,0,66.100868193
92787,0,0,0,26260,0,34660,0,0,67.109948082
110806,0,0,0,26260,0,41077,0,0,68.111197547
87649,0,0,0,26260,0,27444,0,0,69.121833963
83395,0,0,0,26260,0,36312,0,0,70.137649522
87077,0,0,0,26260,0,36099,0,0,71.151864227
143570,0,0,0,26822,0,59925,0,0,72.163400437
112809,0,0,0,27149,0,52828,0,0,73.169665865
38595,0,0,0,26671,0,13807,0,0,74.171310494
38517,0,0,0,27024,0,22629,0,0,75.204481844
125631,0,0,0,26260,0,72976,0,0,76.242274299
80717,0,0,0,26260,0,72073,0,0,77.250153354
125740,0,0,0,26822,0,74464,0,0,78.251541364
135282,0,0,0,27149,0,95941,0,0,79.266708266
41380,0,0,0,26260,0,25733,0,0,80.27331302
36793,0,0,0,27435,0,30660,0,0,81.301433701
129437,0,12423,0,26260,0,93861,0,0,82.349111598
103648,0,19393,0,26260,0,116672,0,0,83.363330012
119968,0,21156,0,27711,0,139699,0,0,84.366425202
104060,0,17630,0,26260,0,126357,0,0,85.371334792
81464,0,21456,0,26260,0,95765,0,0,86.382555455
12221,0,23098,0,26260,0,50798,0,0,87.387503103
15946,0,22787,0,26671,0,100143,0,0,88.393371042
3064,0,25094,0,26260,0,82535,0,0,89.395513064
3064,0,23332,0,27024,0,121580,0,0,90.401472919
3064,0,24616,0,26260,0,82700,0,0,91.430335164
4096,0,22113,0,26260,0,135500,0,0,92.443014555
3064,0,24896,0,26260,0,99361,0,0,93.443389666
3064,0,26033,0,26260,0,103986,0,0,94.450280157
3064,0,25094,0,27711,0,57735,0,0,95.465348619
3064,0,24748,0,26260,0,125459,0,0,96.480316199
3064,0,24616,0,26260,0,113837,0,0,97.480405613
1500,0,24814,0,26260,0,81351,0,0,98.490411162
0,0,25967,0,3801,0,69508,0,0,99.498384451
0,0,25028,0,0,0,108462,0,0,100.507945852
0,0,26033,0,0,0,114244,0,0,101.515834689
0,0,14434,0,0,0,117746,0,0,102.534401763
0,0,0,0,0,0,124182,0,0,103.548039438
0,0,0,0,0,0,113706,0,0,104.561979318
0,0,0,0,0,0,36416,0,0,105.626089042
0,0,0,0,0,0,101898,0,7200,106.632635112
0,0,0,1284,0,0,95793,0,17630,107.640398162
0,0,0,47320,0,0,98934,0,17564,108.660399587
0,0,0,19456,0,0,26732,0,18981,109.671172329
0,0,0,97841,0,0,60755,0,19393,110.677416173
0,0,0,84081,0,0,28732,0,17762,111.681627818
0,0,0,68835,0,0,58672,0,19261,112.687751731
0,0,0,50322,0,0,5506,0,19731,113.692397351
0,0,0,14990,0,0,3064,0,17836,114.705523137
0,0,0,11918,0,0,3064,0,17564,115.710459096
0,0,0,13488,0,0,3064,0,17930,116.730494563
0,0,0,12717,0,0,3064,0,17630,117.730581194
0,0,0,8091,0,0,3064,0,17934,118.730683866
0,0,0,15950,0,0,3064,0,18509,119.730725282
0,0,0,5462,0,0,3064,0,17498,120.738392459
0,0,0,11447,0,0,3064,0,18042,121.76045331
0,0,0,24535,0,0,3064,0,18981,122.787930825
0,0,0,22830,0,0,966,0,17762,123.790443244
0,0,0,11870,0,0,0,0,17910,124.798617745
0,0,0,692,0,0,0,0,17696,125.820442116
0,0,0,112,0,0,0,0,19047,126.820482975
