UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
16658,0,0,0,0,0,0,0,0,10.326073898
198,0,0,0,0,0,0,0,0,11.866989874-
142,0,0,0,0,0,0,0,0,13.765995654-
54351,0,0,0,0,0,0,0,0,13.76601649
30466,0,0,0,0,0,0,0,0,14.776274698
137744,0,0,0,0,0,0,0,0,15.839843156
117102,0,0,0,0,0,0,0,0,16.875981431
122278,0,0,0,0,0,0,0,0,17.881589527
91398,0,0,0,0,0,0,0,0,18.889506583
113175,0,0,0,0,0,0,0,0,19.902063122
81617,0,0,0,0,0,0,0,0,20.988009451
89790,0,0,0,0,0,0,0,0,21.996082619
110740,0,0,0,0,0,0,0,0,23.107052422
98164,0,0,0,0,0,0,0,0,24.114654014
75337,0,0,0,0,0,0,0,0,25.122439125
89534,0,0,0,0,0,0,0,0,26.129035665
34915,0,0,0,0,0,0,0,0,27.374588081
103609,0,0,0,0,0,0,0,0,28.506111907
135866,0,0,0,0,0,0,0,0,29.515994657
147131,0,0,0,0,0,0,0,10248,30.52971695
123089,0,0,0,0,0,0,0,23331,31.537974601
68186,0,0,0,9203,0,0,0,21156,32.559976697
109155,0,0,0,25981,0,0,0,24336,33.573440303
144486,0,0,0,27246,0,0,0,25028,34.589130296
62594,0,0,0,26080,0,0,0,19393,35.599914853
132031,0,0,0,26080,0,0,0,19393,36.609994791
100598,0,0,0,26080,0,0,0,19393,37.620050062
97889,0,0,0,26639,0,0,0,18981,38.629980022
40004,0,0,0,26438,0,0,0,9145,39.642484068
143724,0,0,0,25163,0,0,0,0,40.642724243
134462,0,0,0,26080,0,0,0,0,41.648140344
113719,0,0,0,27621,0,0,0,0,42.654086103
34989,0,0,0,26671,0,0,0,0,43.664419752
90693,0,0,0,25849,0,0,0,0,44.683178012
141610,0,0,0,27435,0,0,0,0,45.685965887
137670,0,0,0,26260,0,0,0,0,46.692035405
112502,0,0,0,26822,0,0,0,0,47.700544627
93625,0,0,0,25698,0,0,0,0,48.751382037
143877,0,0,0,28122,0,0,0,0,49.756481177
89178,0,0,0,26260,0,0,0,0,50.780284983
58695,0,0,0,26260,0,0,0,0,51.78617304
123985,0,0,0,27024,0,0,0,0,52.792164415
70440,0,0,0,26260,0,0,0,0,53.814996455
138135,0,0,0,26822,0,0,0,0,54.82604444
121052,0,0,0,27149,0,0,0,0,55.854348067
82815,0,0,0,26260,0,0,0,12489,56.865279817
133015,0,0,0,26260,0,0,0,22853,57.86803272
51001,0,0,0,27435,0,0,0,21156,58.881079173
107600,0,0,0,26260,0,0,0,5207,59.895939301
95790,0,0,0,26260,0,0,0,0,60.906024591
138748,0,0,0,26260,0,0,0,0,61.91928542
62469,0,0,0,26822,0,1284,0,0,62.92766575
130886,0,0,0,25698,0,0,0,0,63.94546225
71404,0,0,0,26260,0,15392,0,0,64.951053654
117379,0,0,0,27711,0,264,0,0,65.95711992
103113,0,0,0,26260,0,0,0,0,66.976072749
126587,0,0,0,26260,0,18748,0,0,67.98614528
111297,0,0,0,27997,0,19033,0,0,68.992172201
111069,0,0,0,25698,0,82567,0,0,70.042482492
17451,0,0,0,26822,0,19604,0,0,71.045984004
12004,0,0,0,27149,0,6227,0,0,72.054377788
125105,0,0,0,26260,0,56978,0,0,73.05568544
59078,0,0,0,26260,0,63957,0,0,74.056477845
104075,0,0,0,26260,0,70242,0,0,75.058619409
