UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
6449,0,0,0,0,0,0,0,0,2.3004e-05
10347,0,0,0,0,0,0,0,0,1.000331848
66,0,0,0,0,0,0,0,0,2.231969823-
142,0,0,0,0,0,0,0,0,3.839900084-
30596,0,0,0,0,0,0,0,0,3.839921412
88553,0,0,0,0,0,0,0,0,4.888932503
39177,0,0,0,0,0,0,0,0,5.909850742
44454,0,0,0,0,0,0,0,0,6.927881511
47794,0,0,0,0,0,0,0,0,7.950050675
51310,0,0,0,0,0,0,0,0,8.979867697
48615,0,0,0,0,0,0,0,0,9.989298421
24515,0,0,0,0,0,0,0,0,11.030283287
50901,0,0,0,0,0,0,0,0,12.128194377
56059,0,0,0,0,0,0,0,0,13.155796355
48630,0,0,0,0,0,0,0,0,14.183035529
62513,0,0,0,0,0,0,0,0,15.20511918
49225,0,0,0,0,0,0,0,0,16.24781435
91117,0,0,0,0,0,0,0,0,17.264824529
74176,0,0,0,0,0,0,0,0,18.269934004
22313,0,0,0,0,0,0,0,1771,19.310578305
113894,0,0,0,0,0,0,0,22845,20.327177348
112984,0,0,0,0,0,0,0,17630,21.339134913
133127,0,0,0,1431,0,0,0,22655,22.346862772
54517,0,0,0,26284,0,0,0,19657,23.36109807
31910,0,0,0,26030,0,0,0,19393,24.367051409
122205,0,0,0,26786,0,0,0,17778,25.37315186
115181,0,0,0,26030,0,0,0,19047,26.383895444
121136,0,0,0,26030,0,0,0,14368,27.391685093
125902,0,0,0,26030,0,0,0,0,28.40435618
108864,0,0,0,26030,0,0,0,0,29.417907126
47649,0,0,0,26030,0,0,0,0,30.421150904
73564,0,0,0,26030,0,0,0,0,31.434997734
143990,0,0,0,27515,0,0,0,0,32.440993419
133436,0,0,0,26210,0,0,0,0,33.454176495
59923,0,0,0,26210,0,0,0,0,34.462282561
138997,0,0,0,27382,0,0,0,0,35.474434243
63237,0,0,0,26772,0,0,0,0,36.518383724
119115,0,0,0,25648,0,0,0,0,37.532448219
45840,0,0,0,27659,0,0,0,0,38.534869773
58079,0,0,0,26210,0,0,0,0,39.545031135
136627,0,0,0,26210,0,0,0,0,40.549895051
136770,0,0,0,26210,0,0,0,0,41.554184888
146139,0,0,0,26210,0,0,0,0,42.559933768
147369,0,0,0,26210,0,0,0,0,43.566510805
110715,0,0,0,27382,0,0,0,10660,44.569898252
61028,0,0,0,26210,0,0,0,22573,45.58394015
54116,0,0,0,26210,0,0,0,19591,46.611935445
109330,0,0,0,26210,0,0,0,10644,47.616832673
53912,0,0,0,27659,0,0,0,0,48.629869687
117130,0,0,0,26210,0,0,0,0,49.641646917
126168,0,0,0,26620,0,0,0,0,50.659965023
67244,0,0,0,26972,0,0,0,0,51.676121901
122260,0,0,0,26235,0,1284,0,0,52.689903188
45606,0,0,0,26260,0,0,0,0,53.732025867
137153,0,0,0,27711,0,16466,0,0,54.73796935
148213,0,0,0,26260,0,38645,0,0,55.743431098
93294,0,0,0,26260,0,27801,0,0,56.757074265
96580,0,0,0,26260,0,77496,0,0,57.759148549
124706,0,0,0,26260,0,127959,0,0,58.761036393
36454,0,0,0,26260,0,72613,0,0,59.761932805
37687,0,0,0,27435,0,38616,0,0,60.767096071
124777,0,0,0,26260,0,129167,0,0,61.769966744
119566,0,0,0,26260,0,126342,0,0,62.773666474
81950,0,0,0,26260,0,64783,0,0,63.782090245
72881,0,0,0,27711,0,75084,0,0,64.841024205
121508,0,0,0,26260,0,133045,0,0,65.850512382
104193,0,0,0,26671,0,126621,0,0,66.858343635
34816,0,0,0,27024,0,21964,0,0,67.876084348
114493,0,0,0,26260,0,147235,0,0,68.884745391
117742,0,0,0,26260,0,113248,0,0,69.895093433
116469,0,0,0,26822,0,93515,0,0,70.904210198
93235,0,0,0,25698,0,80506,0,0,71.926435884
112790,0,0,0,26260,0,131512,0,0,72.932090182
143249,0,0,0,27711,0,149162,0,0,73.933281353
93384,0,10726,0,26260,0,111581,0,0,74.94065486
63835,0,20086,0,26260,0,60690,0,0,75.951895784
110256,0,14104,0,26671,0,127733,0,0,76.960367706
49258,0,22639,0,25849,0,49566,0,0,77.961086052
25101,0,21502,0,26260,0,95549,0,0,78.962063829
25897,0,22985,0,27435,0,39222,0,0,79.972646149
10296,0,22853,0,26260,0,84944,0,0,80.979980452
3064,0,25967,0,26260,0,128051,0,0,81.987066109
3064,0,25094,0,26260,0,131945,0,0,82.996953094
3064,0,24748,0,26260,0,135259,0,0,84.008856024
3064,0,25967,0,26260,0,84917,0,0,85.012576847
3064,0,25094,0,26822,0,44910,0,0,86.024681756
4096,0,22985,0,27149,0,15337,0,0,87.041398957
3064,0,24616,0,26260,0,101528,0,0,88.059945094
3064,0,25048,0,26260,0,123873,0,0,89.070047171
3064,0,25733,0,27435,0,132869,0,0,90.070173077
258,0,25094,0,26260,0,107354,0,0,91.079239304
0,0,25967,0,2626,0,42916,0,0,92.099959755
0,0,25094,0,0,0,116995,0,0,93.104003465
0,0,26033,0,0,0,140380,0,0,94.110938229
0,0,19723,0,0,0,109163,0,0,95.114727012
0,0,0,0,0,0,105519,0,0,96.122803168
0,0,0,0,0,0,79456,0,0,97.130821091
0,0,0,0,0,0,65428,0,0,98.703214491
0,0,0,0,0,0,146738,0,7134,99.715579213
0,0,0,0,0,0,145725,0,12341,100.723873285
0,0,0,0,0,0,115625,0,8741,101.732709241
0,0,0,0,0,0,65163,0,17836,102.757075388
0,0,0,1284,0,0,68750,0,17864,103.762016852
0,0,0,362,0,0,28073,0,18747,104.762190785
0,0,0,15025,0,0,3064,0,17762,105.7699272
0,0,0,264,0,0,2926,0,17844,106.772381702
0,0,0,0,0,0,3064,0,17696,107.781341993
0,0,0,20225,0,0,3064,0,17798,108.782015684
0,0,0,11637,0,0,3064,0,17696,109.782138365
0,0,0,202280,0,0,3064,0,17934,110.782175884
0,0,0,253442,0,0,3064,0,20074,111.782213438
0,0,0,101319,0,0,3064,0,24682,112.784311403
0,0,0,34967,0,0,3064,0,25094,113.798959271
0,0,0,44864,0,0,2236,0,20744,114.814059575
0,0,0,53858,0,0,0,0,19805,115.834057262
0,0,0,49802,0,0,0,0,20810,116.853932879
0,0,0,50011,0,0,0,0,21090,117.87122124
0,0,0,52151,0,0,0,0,21156,118.87890626
0,0,0,55181,0,0,0,0,19805,119.893940661
0,0,0,19072,0,0,0,0,19047,120.910921268
0,0,0,46507,0,0,0,0,17828,121.921934288
0,0,148,51215,0,0,0,0,17778,122.926925247
0,0,25967,21405,0,0,0,0,17630,123.940898474
0,0,25094,72644,0,0,0,0,17762,124.953976206
0,0,26033,19567,0,0,0,0,18849,125.962116056
0,0,25094,13330,0,0,0,0,18108,126.983994835
0,0,26033,35628,0,0,0,0,19179,128.002013635
0,0,25094,103804,0,0,0,0,21156,129.006916125
0,0,26033,77297,0,0,0,0,19195,130.021955622
0,0,25094,114237,0,0,0,0,21090,131.031954351
0,0,24814,119424,0,0,0,0,23183,132.038953808
0,0,25967,107936,0,0,0,0,24418,133.040064605
0,0,25028,113064,0,0,0,0,22919,134.048957917
0,0,26033,117136,0,0,0,0,21568,135.057730513
0,0,25094,113624,0,0,0,0,22919,136.066969624
0,0,26033,25321,0,0,0,0,19459,137.081964017
0,0,25094,115843,0,0,0,0,20942,138.096976852
0,0,26033,66014,0,0,0,0,19673,139.100474603
0,0,24682,90039,0,0,0,0,23153,140.10202185
0,0,25094,133828,0,0,0,0,25733,141.102144586
0,0,26033,47654,0,0,0,0,17976,142.111927984
0,0,22919,105860,0,0,0,0,19245,143.113967799
0,0,25094,49923,0,0,0,0,21230,144.126324417
0,0,26033,122371,0,0,0,0,19187,145.139225742
0,0,25094,100727,0,0,0,0,17762,146.146685834
0,0,17548,125633,0,0,0,0,20958,147.146998584
0,0,0,31973,0,0,0,0,17894,148.161947333
0,0,0,144056,0,0,0,0,0,149.181614326
0,0,0,141627,0,0,0,0,0,150.196200653
0,0,0,105012,0,0,0,0,0,151.214365645
0,0,0,59902,0,0,0,0,0,152.341413042
0,0,0,28240,0,0,0,0,0,153.411762424
0,0,0,43339,0,0,0,0,0,154.467074871
0,0,0,26812,0,0,0,0,0,155.477658385
0,0,0,3202,0,0,0,0,0,156.539126614
0,0,0,3202,0,0,0,0,0,157.596907392
0,0,0,3202,0,0,0,0,0,158.654892173
0,0,0,3202,0,0,0,0,0,159.718038565
