"UE1: web-rtc","UE1: sipp","UE1: web-server","UE2: web-rtc","UE2: sipp","UE2: web-server","UE3: web-rtc","UE3: sipp","UE3: web-server","Time","UE1-Jitter","UE2-Jitter","UE3-Jitter","UE1-CQI","UE2-CQI","UE3-CQI","empty"
22993,0,0,0,0,0,0,0,0,,"0.010608186505263156",0,0,13,15,15,
4850,0,0,0,0,0,0,0,0,,"0.01714508266129033",0,0,14,14,15,
44188,0,0,0,0,0,0,0,0,,"0.017528793883333352",0,0,14,15,15,
43878,0,0,0,0,0,0,0,0,,"0.018003235497835512",0,0,14,15,15,
116040,0,0,0,0,0,0,0,0,,"0.014573565426553678",0,0,14,14,15,
46663,0,0,0,0,0,0,0,0,,"0.014854741807228922",0,0,14,14,15,
53285,0,0,0,0,0,0,0,0,,"0.015156108344608881",0,0,14,15,15,
96946,0,0,0,0,0,0,0,0,,"0.014029676319039449",0,0,14,15,15,
71242,0,0,0,0,0,0,0,0,,"0.01380402758496241",0,0,12,14,15,
86989,0,0,0,0,0,0,0,0,,"0.013309023091383819",0,0,14,15,15,
12964,0,0,0,0,0,0,0,0,,"0.014272199983502543",0,0,14,14,15,
10903,0,0,0,0,0,0,0,0,,"0.015337684626400994",0,0,13,15,15,
80606,0,0,0,0,0,0,0,0,,"0.015005982025900904",0,0,14,14,15,
87816,0,0,0,0,0,0,0,0,,"0.014731258965306124",0,0,10,11,15,
147241,0,0,0,0,0,0,0,0,,"0.01371223269449379",0,0,10,10,15,
142701,0,0,0,0,0,0,0,0,,"0.012870891429577473",0,0,9,10,15,
54016,0,0,0,0,0,0,0,0,,"0.012973258283271383",0,0,10,12,15,
41972,0,0,0,0,0,0,0,0,,"0.013132350891103206",0,0,14,14,15,
19956,0,0,0,0,0,0,0,0,,"0.013543361683553091",0,0,13,15,15,
25005,0,0,0,0,0,0,0,1911,,"0.013933548429639703",0,"0.00689981446153791",14,14,15,
60430,0,0,0,0,0,0,0,22853,,"0.013901230873303168",0,"0.006388976209580813",14,15,15,
49248,0,0,0,0,0,0,0,24270,,"0.013980237432298136",0,"0.006250756637195123",14,14,15,
50562,0,0,0,1433,0,0,0,25094,,"0.014035850361791039","0.00020371450000311597","0.006028590986027934",12,14,15,
54426,0,0,0,25927,0,0,0,24814,,"0.014055077715433153","0.015927267229508484","0.005997560101492532",13,14,15,
57668,0,0,0,27246,0,0,0,26033,,"0.014041694931129469","0.015926683577235874","0.005955257008303679",12,14,15,
56233,0,0,0,26838,0,0,0,24550,,"0.01400834608989952","0.015697056923913103","0.005948042660714292",12,14,15,
20169,0,0,0,26080,0,0,0,24682,,"0.014340821067292646","0.015755943283950656","0.005942850059574481",11,14,15,
73076,0,0,0,26080,0,0,0,21486,,"0.01424505515492254","0.015767947930463603","0.005940880612244908",11,12,15,
85292,0,0,0,26080,0,0,0,0,,"0.014039855085156993","0.015806880063711903",0,13,14,14,
82993,0,0,0,26639,0,0,0,0,,"0.013861739204906865","0.01588925597149641",0,12,15,15,
66832,0,0,0,26080,0,0,0,0,,"0.01379474480735552","0.016027451585416644",0,14,15,15,
61556,0,0,0,26963,0,0,0,0,,"0.01378267720229008","0.016061284075785567",0,12,13,15,
68843,0,0,0,24674,0,0,0,0,,"0.013715798525173973","0.016051054063651593",0,13,13,15,
71294,0,0,0,27711,0,0,0,0,,"0.013634728594466412","0.016029996113808807",0,14,14,15,
74038,0,0,0,26671,0,0,0,0,,"0.01356314021062692","0.016092788211404745",0,8,10,15,
43555,0,0,0,25849,0,0,0,0,,"0.013668864282128148","0.01614415728314031",0,11,14,15,
97218,0,0,0,26260,0,0,0,0,,"0.013515120550667158","0.016173777328947394",0,10,12,15,
109553,0,0,0,26671,0,0,0,0,,"0.013310156048442915","0.016212358172991097",0,6,11,15,
105532,0,0,0,27024,0,0,0,0,,"0.013147752466022657","0.016216637025078404",0,8,10,15,
105920,0,0,0,25613,0,0,0,0,,"0.012988787672978182","0.016207878363905366",0,10,12,15,
108270,0,0,0,26788,0,0,0,0,,"0.012830607485307769","0.016177050932029834",0,11,12,15,
127461,0,0,0,26822,0,0,0,0,,"0.01262981892328279","0.016205530597001805",0,8,11,15,
129090,0,0,0,26788,0,0,0,0,,"0.01241572852670666","0.016233440750418802",0,6,10,15,
102687,0,0,0,25613,0,0,0,0,,"0.012309132818106316","0.016293671967226253",0,8,10,15,
97513,0,0,0,26788,0,0,0,8485,,"0.012222221074751278","0.016311418419527105","0.0059027826840958725",6,11,15,
92395,0,0,0,26502,0,0,0,26923,,"0.012116602223845554","0.016333752603649665","0.005841419832373656",10,10,15,
94620,0,0,0,27844,0,0,0,29493,,"0.012054628170223578","0.016313160508379915","0.005753537675952262",8,10,15,
97663,0,0,0,27435,0,0,0,12671,,"0.011969948009634386","0.01629048923828651","0.005850233350839211",10,10,15,
102383,0,0,0,26788,0,0,0,0,,"0.011873911054981994","0.016263417836550862",0,10,10,14,
94250,0,0,0,26260,0,4357,0,0,,"0.01180319601777778","0.016245339554246768","0.006152391918345721",4,10,15,
80744,0,0,0,27316,0,29318,0,0,,"0.011781534287087914","0.01622652373058544","0.006439418522319154",10,11,15,
74263,0,0,0,26260,0,13072,0,0,,"0.011765221532630639","0.016204576132140814","0.006878223162354153",0,11,15,
91409,0,0,0,26788,0,109125,0,0,,"0.01172237809254386","0.01619065798605691","0.006972886972222239",7,11,15,
99357,0,0,0,27711,0,150332,0,0,,"0.011629025856044427","0.016188216238274954","0.006958796542486596",8,10,15,
