Packet_Num,Time,Source,Destination,Protocol,Length
"5131","48.772992","192.168.3.101","192.168.20.2","UDP","1187"
"5132","48.77801","192.168.3.101","192.168.20.2","UDP","1187"
"5133","48.778024","192.168.3.101","192.168.20.2","UDP","1187"
"5134","48.783103","192.168.3.101","192.168.20.2","UDP","1187"
"5135","48.783117","192.168.3.101","192.168.20.2","UDP","1187"
"5136","48.788031","192.168.20.2","192.168.3.101","UDP","96"
"5137","48.788128","192.168.3.101","192.168.20.2","UDP","1187"
"5138","48.788144","192.168.3.101","192.168.20.2","UDP","1187"
"5139","48.79327","192.168.3.101","192.168.20.2","UDP","1187"
"5140","48.793286","192.168.3.101","192.168.20.2","UDP","1187"
"5141","48.798319","192.168.3.101","192.168.20.2","UDP","1187"
"5142","48.798338","192.168.3.101","192.168.20.2","UDP","1187"
"5143","48.803442","192.168.3.101","192.168.20.2","UDP","1187"
"5144","48.803453","192.168.3.101","192.168.20.2","UDP","1187"
"5145","48.808563","192.168.3.101","192.168.20.2","UDP","1187"
"5146","48.808586","192.168.3.101","192.168.20.2","UDP","1187"
