Packet_Num,Time,Source,Destination,Protocol,Length
"4785","47.880065","192.168.20.2","192.168.3.101","UDP","100"
"4788","47.882421","192.168.3.101","192.168.20.2","UDP","1172"
"4789","47.882449","192.168.3.101","192.168.20.2","UDP","1172"
"4790","47.887534","192.168.3.101","192.168.20.2","UDP","1172"
"4791","47.887564","192.168.3.101","192.168.20.2","UDP","1172"
"4792","47.892591","192.168.3.101","192.168.20.2","UDP","1172"
"4793","47.892621","192.168.3.101","192.168.20.2","UDP","1172"
"4794","47.897717","192.168.3.101","192.168.20.2","UDP","1178"
"4795","47.897747","192.168.3.101","192.168.20.2","UDP","1178"
"4796","47.902808","192.168.3.101","192.168.20.2","UDP","1178"
"4797","47.902838","192.168.3.101","192.168.20.2","UDP","1178"
"4798","47.907926","192.168.3.101","192.168.20.2","UDP","1178"
"4799","47.907957","192.168.3.101","192.168.20.2","UDP","1178"
"4800","47.912986","192.168.3.101","192.168.20.2","UDP","1178"
"4801","47.913017","192.168.3.101","192.168.20.2","UDP","1178"
"4802","47.918079","192.168.3.101","192.168.20.2","UDP","1178"
"4803","47.918109","192.168.3.101","192.168.20.2","UDP","1178"
"4804","47.923194","192.168.3.101","192.168.20.2","UDP","1178"
"4805","47.923224","192.168.3.101","192.168.20.2","UDP","1178"
"4806","47.928266","192.168.3.101","192.168.20.2","UDP","1178"
"4807","47.928297","192.168.3.101","192.168.20.2","UDP","1178"
"4808","47.930053","192.168.20.2","192.168.3.101","UDP","100"
"4809","47.9333","192.168.3.101","192.168.20.2","UDP","1178"
"4810","47.933331","192.168.3.101","192.168.20.2","UDP","1178"
"4811","47.9384","192.168.3.101","192.168.20.2","UDP","1178"
"4812","47.93843","192.168.3.101","192.168.20.2","UDP","1178"
"4814","47.941555","192.168.3.102","192.168.20.3","SIP","360"
"4816","47.943494","192.168.3.101","192.168.20.2","UDP","1178"
"4817","47.943525","192.168.3.101","192.168.20.2","UDP","1178"
"4818","47.948535","192.168.3.101","192.168.20.2","UDP","1178"
"4819","47.95362","192.168.3.101","192.168.20.2","UDP","1178"
"4820","47.953651","192.168.3.101","192.168.20.2","UDP","1178"
"4821","47.958715","192.168.3.101","192.168.20.2","UDP","1178"
"4822","47.958745","192.168.3.101","192.168.20.2","UDP","1179"
