8,8,8
24,8,8
24,8,8
28,8,8
28,8,8
32,8,8
28,8,8
32,8,8
32,8,8
32,8,8
32,8,8
24,8,8
24,8,8
32,8,8
36,12,8
36,12,8
40,12,8
36,8,8
28,8,8
24,8,8
28,8,12
32,8,12
28,8,12
32,8,12
32,16,16
32,16,16
32,16,16
28,16,16
36,16,16
32,16,12
32,16,12
32,16,12
32,16,12
32,16,8
32,16,12
40,20,12
32,16,12
36,16,12
40,20,12
40,20,12
36,16,12
36,16,12
40,20,12
40,20,12
40,20,12
40,20,16
36,20,16
40,20,16
36,20,16
36,20,12
40,20,16
36,20,16
40,20,16
40,20,16
40,20,16
36,20,16
40,20,16
40,20,16
40,20,16
32,16,16
40,20,16
40,20,16
36,20,16
32,20,16
28,16,16
28,16,16
28,16,16
24,16,16
32,16,16
32,16,16
40,20,16
40,20,16
40,20,16
36,20,16
32,24,24
36,24,24
36,24,24
36,20,24
36,24,24
36,24,24
36,24,24
32,24,24
36,28,28
20,24,24
24,24,28
24,24,24
24,24,28
20,28,24
24,24,24
28,32,28
24,24,24
28,32,28
28,32,24
24,20,20
28,20,24
24,20,20
24,16,20
12,16,12
16,12,12
12,16,12
16,12,12
16,16,12
16,16,12
16,12,12
12,20,16
16,24,20
8,20,16
16,24,20
16,20,20
16,16,16
16,24,24
16,28,24
16,28,24
16,28,24
16,20,16
16,28,24
16,28,24
16,28,24
16,28,24
12,24,24
12,28,24
12,24,24
16,24,24
24,32,28
24,36,28
24,28,28
28,32,28
24,36,28
24,32,28
24,28,28
28,28,28
20,28,28
16,28,36
16,28,36
20,28,32
16,28,36
20,28,36
20,28,36
20,28,36
20,28,32
20,28,28
16,28,32
20,28,32
20,28,36
16,28,32
16,28,32
16,28,32
20,28,28
8,24,24
8,24,24
8,24,24
8,24,24
8,24,24
8,24,20
8,24,20
8,24,20
8,24,24
8,24,20
8,24,28
8,24,20
8,16,16
8,16,8
8,16,8
