 "UE1: web-rtc" "UE1: sipp" "UE1: web-server" "UE2: web-rtc" "UE2: sipp" "UE2: web-server" "UE3: web-rtc" "UE3: sipp" "UE3: web-server" Time UE1-Jitter UE2-Jitter UE3-Jitter UE1-CQI UE2-CQI UE3-CQI empty
0 0.122264 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.5094744211320722e-07 0.0 0.0 0.000104 0.000112 0.00012 
1 0.065984 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.720768135913976e-07 0.0 0.0 0.000104 0.000112 0.00012 
2 0.220032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.8495407658015202e-07 0.0 0.0 0.000104 0.00012 0.00012 
3 0.309784 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.81161224044444e-07 0.0 0.0 0.000104 0.000112 0.00012 
4 0.413472 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.709064891092432e-07 0.0 0.0 0.000104 0.000112 0.00012 
5 0.229704 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.740228482846968e-07 0.0 0.0 0.000104 0.000112 0.00012 
6 0.073088 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.9152067997324402e-07 0.0 0.0 0.000104 0.000112 0.00012 
7 0.06948 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.0526803142319681e-07 0.0 0.0 0.000104 0.000112 0.00012 
8 0.055896 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.228384956616312e-07 0.0 0.0 0.000104 0.000112 0.00012 
9 0.07204 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.342385621485712e-07 0.0 0.0 0.000104 0.000112 0.00012 
10 0.085864 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.413785822459888e-07 0.0 0.0 0.000104 0.000112 0.00012 
11 0.062312 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.5481249730612236e-07 0.0 0.0 0.000104 0.000112 0.00012 
12 0.044256 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.674079160296296e-07 0.0 0.0 0.000104 0.000112 0.00012 
13 0.132384 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.648461621950112e-07 0.0 0.0 6.4e-05 7.2e-05 0.00012 
14 0.14536 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.623847975798312e-07 0.0 0.0 7.2e-05 8.8e-05 0.00012 
15 0.162144 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.5997939809374957e-07 0.0 0.0 8e-05 8e-05 0.00012 
16 0.166496 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.574602122550088e-07 0.0 0.0 9.6e-05 0.000112 0.00012 
17 0.086112 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.6199965405253924e-07 0.0 0.0 9.6e-05 0.000112 0.00012 
18 0.224168 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  2.5647484079349517e-07 0.0 0.0 0.000104 0.000112 0.00012 
19 0.14204 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08768  2.52632302215384e-07 0.0 4.88221134933328e-08 0.000104 0.000112 0.00012 
20 0.26096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.167376  2.44637308638176e-07 0.0 5.40600886296296e-08 9.6e-05 0.000112 0.00012 
21 0.242224 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16872  2.377667116613752e-07 0.0 5.4632181027932795e-08 0.000104 0.000112 0.00012 
22 0.14696 0.0 0.0 0.0 0.08272 0.0 0.0 0.0 0.170304  2.390352663643312e-07 1.141170723478264e-07 5.4788130942345603e-08 8.8e-05 0.000112 0.00012 
23 0.191168 0.0 0.0 0.0 0.21352 0.0 0.0 0.0 0.193632  2.37360239165048e-07 1.21097256380952e-07 5.3716741104072e-08 9.6e-05 0.000112 0.00012 
24 0.18584 0.0 0.0 0.0 0.198936 0.0 0.0 0.0 0.15844  2.3628884301395282e-07 1.257662017142856e-07 5.4518213079999195e-08 8e-05 9.6e-05 0.00012 
25 0.228768 0.0 0.0 0.0 0.221096 0.0 0.0 0.0 0.160064  2.337998873532664e-07 1.26371883287128e-07 5.53107659892584e-08 8e-05 8.8e-05 0.00012 
26 0.33872 0.0 0.0 0.0 0.225528 0.0 0.0 0.0 0.197984  2.2621624122314e-07 1.258620402406008e-07 5.41491402365784e-08 8.8e-05 0.000104 0.00012 
27 0.253904 0.0 0.0 0.0 0.203408 0.0 0.0 0.0 0.196928  2.232667092440944e-07 1.278036075789472e-07 5.3273033618972004e-08 8e-05 8.8e-05 0.00012 
28 0.218928 0.0 0.0 0.0 0.226488 0.0 0.0 0.0 0.027552  2.2028163101030879e-07 1.2693283078036162e-07 5.32330186169384e-08 0.000104 0.000112 0.00012 
29 0.24056 0.0 0.0 0.0 0.212712 0.0 0.0 0.0 0.0  2.1844917913387198e-07 1.266355190514536e-07 0.0 0.000104 0.000112 0.00012 
30 0.438712 0.0 0.0 0.0 0.212712 0.0 0.0 0.0 0.0  2.117018246616032e-07 1.2661181648915122e-07 0.0 8.8e-05 9.6e-05 0.00012 
31 0.430008 0.0 0.0 0.0 0.217184 0.0 0.0 0.0 0.0  2.0478761681012638e-07 1.270986668591544e-07 0.0 8.8e-05 0.000104 0.00012 
32 0.365008 0.0 0.0 0.0 0.216224 0.0 0.0 0.0 0.0  2.015833704712984e-07 1.274531733672496e-07 0.0 0.000104 0.000112 0.00012 
